,gen,cost,time,param
0,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,0.29421353340148926,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
1,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,0.6692121028900146,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
2,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,1.1350021362304688,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
3,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,1.7194702625274658,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
4,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,2.3397905826568604,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
5,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,3.027944803237915,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
6,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,3.5974225997924805,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
7,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,4.280595779418945,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
8,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,5.034540414810181,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
9,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,5.546168327331543,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
10,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,6.241351842880249,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
11,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,6.858659505844116,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
12,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,7.433123588562012,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
13,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,8.041538000106812,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
14,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,8.690797090530396,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
15,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,9.312137842178345,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
16,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,9.955416202545166,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
17,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,10.66951060295105,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
18,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,11.146235704421997,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
19,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,11.697720050811768,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
20,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,12.37590479850769,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
21,"[98.80046804152691, 92.33491957273424, 6.987091552535072, -6.858796704333574, 3.323558967904473, 0.7280810298161539, 0.8761357104980768]",2.0100404960211936e-08,12.957393407821655,"{'hidden': [99, 92, 7], 'activation': 'relu', 'learning_rate': 0.7280810298161539, 'momentum': 0.8761357104980768}"
22,"[45.38358749210715, 69.67073971932894, -5.882131064510879, -5.154916755038946, 4.509307444366693, 0.38003797499703995, 0.9830099269253156]",1.6321007018870999e-10,13.533847332000732,"{'hidden': [45, 70], 'activation': 'leaky_relu', 'learning_rate': 0.38003797499703995, 'momentum': 0.9830099269253156}"
23,"[45.38358749210715, 69.67073971932894, -5.882131064510879, -5.154916755038946, 4.509307444366693, 0.38003797499703995, 0.9830099269253156]",1.6321007018870999e-10,14.043446779251099,"{'hidden': [45, 70], 'activation': 'leaky_relu', 'learning_rate': 0.38003797499703995, 'momentum': 0.9830099269253156}"
24,"[45.38358749210715, 69.67073971932894, -5.882131064510879, -5.154916755038946, 4.509307444366693, 0.38003797499703995, 0.9830099269253156]",1.6321007018870999e-10,14.703679323196411,"{'hidden': [45, 70], 'activation': 'leaky_relu', 'learning_rate': 0.38003797499703995, 'momentum': 0.9830099269253156}"
