,gen,cost,time,param
0,"[68.90788528900111, 92.35509536475342, -8.698177573466824, -8.53023205766242, 0.9615109817693774, 0.19646677039324412, 0.15659110699924483]",0.005993652641071303,0.308643102645874,"{'hidden': [69, 92], 'activation': 'identity', 'learning_rate': 0.19646677039324412, 'momentum': 0.15659110699924483}"
1,"[85.25407036039364, 88.3685628229184, 68.39491707599076, -6.407770606018374, 1.595110142140374, 0.862610501545866, 0.8101788011700994]",5.624418549206184e-06,0.9170475006103516,"{'hidden': [85, 88, 68], 'activation': 'tanh', 'learning_rate': 0.862610501545866, 'momentum': 0.8101788011700994}"
2,"[85.25407036039364, 88.3685628229184, 68.39491707599076, -6.407770606018374, 1.595110142140374, 0.862610501545866, 0.8101788011700994]",5.624418549206184e-06,1.9981496334075928,"{'hidden': [85, 88, 68], 'activation': 'tanh', 'learning_rate': 0.862610501545866, 'momentum': 0.8101788011700994}"
3,"[85.25407036039364, 88.3685628229184, 68.39491707599076, -6.407770606018374, 1.595110142140374, 0.862610501545866, 0.8101788011700994]",5.624418549206184e-06,2.993806838989258,"{'hidden': [85, 88, 68], 'activation': 'tanh', 'learning_rate': 0.862610501545866, 'momentum': 0.8101788011700994}"
4,"[85.25407036039364, 88.3685628229184, 68.39491707599076, -6.407770606018374, 1.595110142140374, 0.862610501545866, 0.8101788011700994]",5.624418549206184e-06,4.225663423538208,"{'hidden': [85, 88, 68], 'activation': 'tanh', 'learning_rate': 0.862610501545866, 'momentum': 0.8101788011700994}"
5,"[85.25407036039364, 88.3685628229184, 68.39491707599076, -6.407770606018374, 1.595110142140374, 0.862610501545866, 0.8101788011700994]",5.624418549206184e-06,6.016345977783203,"{'hidden': [85, 88, 68], 'activation': 'tanh', 'learning_rate': 0.862610501545866, 'momentum': 0.8101788011700994}"
6,"[35.84182767231721, 17.5602774163029, 29.1675766640059, -9.699072977724928, 4.923692081057589, 0.9481247920850951, 0.20886197708676046]",7.930267407877928e-15,7.872344732284546,"{'hidden': [36, 18, 29], 'activation': 'leaky_relu', 'learning_rate': 0.9481247920850951, 'momentum': 0.20886197708676046}"
7,"[35.84182767231721, 17.5602774163029, 29.1675766640059, -9.699072977724928, 4.923692081057589, 0.9481247920850951, 0.20886197708676046]",7.930267407877928e-15,8.32384181022644,"{'hidden': [36, 18, 29], 'activation': 'leaky_relu', 'learning_rate': 0.9481247920850951, 'momentum': 0.20886197708676046}"
8,"[35.84182767231721, 17.5602774163029, 29.1675766640059, -9.699072977724928, 4.923692081057589, 0.9481247920850951, 0.20886197708676046]",7.930267407877928e-15,8.64757752418518,"{'hidden': [36, 18, 29], 'activation': 'leaky_relu', 'learning_rate': 0.9481247920850951, 'momentum': 0.20886197708676046}"
9,"[35.84182767231721, 17.5602774163029, 29.1675766640059, -9.699072977724928, 4.923692081057589, 0.9481247920850951, 0.20886197708676046]",7.930267407877928e-15,9.128304243087769,"{'hidden': [36, 18, 29], 'activation': 'leaky_relu', 'learning_rate': 0.9481247920850951, 'momentum': 0.20886197708676046}"
10,"[35.84182767231721, 17.5602774163029, 29.1675766640059, -9.699072977724928, 4.923692081057589, 0.9481247920850951, 0.20886197708676046]",7.930267407877928e-15,9.773942708969116,"{'hidden': [36, 18, 29], 'activation': 'leaky_relu', 'learning_rate': 0.9481247920850951, 'momentum': 0.20886197708676046}"
11,"[4.760315960945343, 94.79755640101324, -5.660867105295497, -6.519750957053149, 4.614735398529369, 0.9417115134046571, 0.32004669685641174]",3.3570882662362127e-15,10.1874258518219,"{'hidden': [5, 95], 'activation': 'leaky_relu', 'learning_rate': 0.9417115134046571, 'momentum': 0.32004669685641174}"
12,"[79.02909018342913, -8.352951628922195, -7.597224280999299, -9.17506907728467, 3.7909678923321772, 0.8341844043141695, 0.9098641161320934]",3.851859888774472e-34,10.475526571273804,"{'hidden': [79], 'activation': 'relu', 'learning_rate': 0.8341844043141695, 'momentum': 0.9098641161320934}"
13,"[79.02909018342913, -8.352951628922195, -7.597224280999299, -9.17506907728467, 3.7909678923321772, 0.8341844043141695, 0.9098641161320934]",3.851859888774472e-34,10.978182315826416,"{'hidden': [79], 'activation': 'relu', 'learning_rate': 0.8341844043141695, 'momentum': 0.9098641161320934}"
14,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,11.332810640335083,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
15,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,11.719559907913208,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
16,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,12.093894004821777,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
17,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,12.623170614242554,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
18,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,12.976300239562988,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
19,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,13.465018272399902,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
20,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,13.763197183609009,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
21,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,14.24117922782898,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
22,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,14.689734697341919,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
23,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,15.101114273071289,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
24,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,15.440258502960205,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
25,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,15.704028844833374,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
26,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,15.940078020095825,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
27,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,16.226893663406372,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
28,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,16.605882167816162,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
29,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,16.91694211959839,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
30,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,17.35732626914978,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
31,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,17.71702551841736,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
32,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,18.02308940887451,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
33,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,18.364103078842163,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
34,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,18.722188711166382,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
35,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,19.07878589630127,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
36,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,19.362572193145752,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
37,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,19.69495391845703,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
38,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,20.063713788986206,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
39,"[58.21886812801583, 26.701582746288683, -9.760668348858903, -9.772716010738904, 3.08813865363753, 0.6402889240512597, 0.8191564066168021]",7.703719777548944e-35,20.4932119846344,"{'hidden': [58, 27], 'activation': 'relu', 'learning_rate': 0.6402889240512597, 'momentum': 0.8191564066168021}"
40,"[39.66533867375466, 83.57077332230887, 81.8944934676875, -9.446949725724997, 4.352178857173658, 0.9341343032458278, 0.6672216629883942]",0.0,21.045685529708862,"{'hidden': [40, 84, 82], 'activation': 'leaky_relu', 'learning_rate': 0.9341343032458278, 'momentum': 0.6672216629883942}"
