,gen,cost,time,param
0,"[31.919691166925862, 27.693101353552265, 23.16911151747284, -9.026569211641306, 4.155299605338388, 0.7808448765287, 0.634630603284408]",1.2311066781123496e-22,0.2244420051574707,"{'hidden': [32, 28, 23], 'activation': 'leaky_relu', 'learning_rate': 0.7808448765287, 'momentum': 0.634630603284408}"
1,"[31.919691166925862, 27.693101353552265, 23.16911151747284, -9.026569211641306, 4.155299605338388, 0.7808448765287, 0.634630603284408]",1.2311066781123496e-22,0.4448425769805908,"{'hidden': [32, 28, 23], 'activation': 'leaky_relu', 'learning_rate': 0.7808448765287, 'momentum': 0.634630603284408}"
2,"[31.919691166925862, 27.693101353552265, 23.16911151747284, -9.026569211641306, 4.155299605338388, 0.7808448765287, 0.634630603284408]",1.2311066781123496e-22,0.6330583095550537,"{'hidden': [32, 28, 23], 'activation': 'leaky_relu', 'learning_rate': 0.7808448765287, 'momentum': 0.634630603284408}"
3,"[31.919691166925862, 27.693101353552265, 23.16911151747284, -9.026569211641306, 4.155299605338388, 0.7808448765287, 0.634630603284408]",1.2311066781123496e-22,0.8453323841094971,"{'hidden': [32, 28, 23], 'activation': 'leaky_relu', 'learning_rate': 0.7808448765287, 'momentum': 0.634630603284408}"
4,"[31.919691166925862, 27.693101353552265, 23.16911151747284, -9.026569211641306, 4.155299605338388, 0.7808448765287, 0.634630603284408]",1.2311066781123496e-22,1.1106858253479004,"{'hidden': [32, 28, 23], 'activation': 'leaky_relu', 'learning_rate': 0.7808448765287, 'momentum': 0.634630603284408}"
5,"[31.919691166925862, 27.693101353552265, 23.16911151747284, -9.026569211641306, 4.155299605338388, 0.7808448765287, 0.634630603284408]",1.2311066781123496e-22,1.3799948692321777,"{'hidden': [32, 28, 23], 'activation': 'leaky_relu', 'learning_rate': 0.7808448765287, 'momentum': 0.634630603284408}"
6,"[31.919691166925862, 27.693101353552265, 23.16911151747284, -9.026569211641306, 4.155299605338388, 0.7808448765287, 0.634630603284408]",1.2311066781123496e-22,1.6070311069488525,"{'hidden': [32, 28, 23], 'activation': 'leaky_relu', 'learning_rate': 0.7808448765287, 'momentum': 0.634630603284408}"
7,"[31.919691166925862, 27.693101353552265, 23.16911151747284, -9.026569211641306, 4.155299605338388, 0.7808448765287, 0.634630603284408]",1.2311066781123496e-22,1.89625883102417,"{'hidden': [32, 28, 23], 'activation': 'leaky_relu', 'learning_rate': 0.7808448765287, 'momentum': 0.634630603284408}"
8,"[31.919691166925862, 27.693101353552265, 23.16911151747284, -9.026569211641306, 4.155299605338388, 0.7808448765287, 0.634630603284408]",1.2311066781123496e-22,2.2494375705718994,"{'hidden': [32, 28, 23], 'activation': 'leaky_relu', 'learning_rate': 0.7808448765287, 'momentum': 0.634630603284408}"
9,"[31.919691166925862, 27.693101353552265, 23.16911151747284, -9.026569211641306, 4.155299605338388, 0.7808448765287, 0.634630603284408]",1.2311066781123496e-22,2.496349573135376,"{'hidden': [32, 28, 23], 'activation': 'leaky_relu', 'learning_rate': 0.7808448765287, 'momentum': 0.634630603284408}"
