,gen,cost,time,param
0,"[70.76116150869528, 8.03552970967484, -7.423781625330596, -7.2100043990250295, 4.685714367550895, 0.4268387249162279, 0.6588287863215161]",1.0470691140659892e-06,0.2508530616760254,"{'hidden': [71, 8], 'activation': 'leaky_relu', 'learning_rate': 0.4268387249162279, 'momentum': 0.6588287863215161}"
1,"[70.76116150869528, 8.03552970967484, -7.423781625330596, -7.2100043990250295, 4.685714367550895, 0.4268387249162279, 0.6588287863215161]",1.0470691140659892e-06,0.5061690807342529,"{'hidden': [71, 8], 'activation': 'leaky_relu', 'learning_rate': 0.4268387249162279, 'momentum': 0.6588287863215161}"
2,"[67.3919290403034, 37.480890590655086, 28.670952972940256, -7.414247578231434, 4.924561525167619, 0.628448294296573, 0.4367670627387753]",5.36331908046819e-07,0.8672449588775635,"{'hidden': [67, 37, 29], 'activation': 'leaky_relu', 'learning_rate': 0.628448294296573, 'momentum': 0.4367670627387753}"
3,"[67.3919290403034, 37.480890590655086, 28.670952972940256, -7.414247578231434, 4.924561525167619, 0.628448294296573, 0.4367670627387753]",5.36331908046819e-07,1.2181065082550049,"{'hidden': [67, 37, 29], 'activation': 'leaky_relu', 'learning_rate': 0.628448294296573, 'momentum': 0.4367670627387753}"
4,"[67.3919290403034, 37.480890590655086, 28.670952972940256, -7.414247578231434, 4.924561525167619, 0.628448294296573, 0.4367670627387753]",5.36331908046819e-07,1.6371681690216064,"{'hidden': [67, 37, 29], 'activation': 'leaky_relu', 'learning_rate': 0.628448294296573, 'momentum': 0.4367670627387753}"
5,"[67.3919290403034, 37.480890590655086, 28.670952972940256, -7.414247578231434, 4.924561525167619, 0.628448294296573, 0.4367670627387753]",5.36331908046819e-07,2.2386722564697266,"{'hidden': [67, 37, 29], 'activation': 'leaky_relu', 'learning_rate': 0.628448294296573, 'momentum': 0.4367670627387753}"
6,"[67.3919290403034, 37.480890590655086, 28.670952972940256, -7.414247578231434, 4.924561525167619, 0.628448294296573, 0.4367670627387753]",5.36331908046819e-07,2.8186583518981934,"{'hidden': [67, 37, 29], 'activation': 'leaky_relu', 'learning_rate': 0.628448294296573, 'momentum': 0.4367670627387753}"
7,"[67.3919290403034, 37.480890590655086, 28.670952972940256, -7.414247578231434, 4.924561525167619, 0.628448294296573, 0.4367670627387753]",5.36331908046819e-07,3.2373945713043213,"{'hidden': [67, 37, 29], 'activation': 'leaky_relu', 'learning_rate': 0.628448294296573, 'momentum': 0.4367670627387753}"
8,"[67.3919290403034, 37.480890590655086, 28.670952972940256, -7.414247578231434, 4.924561525167619, 0.628448294296573, 0.4367670627387753]",5.36331908046819e-07,3.7161788940429688,"{'hidden': [67, 37, 29], 'activation': 'leaky_relu', 'learning_rate': 0.628448294296573, 'momentum': 0.4367670627387753}"
9,"[67.3919290403034, 37.480890590655086, 28.670952972940256, -7.414247578231434, 4.924561525167619, 0.628448294296573, 0.4367670627387753]",5.36331908046819e-07,4.084105491638184,"{'hidden': [67, 37, 29], 'activation': 'leaky_relu', 'learning_rate': 0.628448294296573, 'momentum': 0.4367670627387753}"
10,"[67.3919290403034, 37.480890590655086, 28.670952972940256, -7.414247578231434, 4.924561525167619, 0.628448294296573, 0.4367670627387753]",5.36331908046819e-07,4.569293260574341,"{'hidden': [67, 37, 29], 'activation': 'leaky_relu', 'learning_rate': 0.628448294296573, 'momentum': 0.4367670627387753}"
11,"[67.3919290403034, 37.480890590655086, 28.670952972940256, -7.414247578231434, 4.924561525167619, 0.628448294296573, 0.4367670627387753]",5.36331908046819e-07,4.894023895263672,"{'hidden': [67, 37, 29], 'activation': 'leaky_relu', 'learning_rate': 0.628448294296573, 'momentum': 0.4367670627387753}"
12,"[67.3919290403034, 37.480890590655086, 28.670952972940256, -7.414247578231434, 4.924561525167619, 0.628448294296573, 0.4367670627387753]",5.36331908046819e-07,5.255110502243042,"{'hidden': [67, 37, 29], 'activation': 'leaky_relu', 'learning_rate': 0.628448294296573, 'momentum': 0.4367670627387753}"
13,"[67.3919290403034, 37.480890590655086, 28.670952972940256, -7.414247578231434, 4.924561525167619, 0.628448294296573, 0.4367670627387753]",5.36331908046819e-07,5.863257884979248,"{'hidden': [67, 37, 29], 'activation': 'leaky_relu', 'learning_rate': 0.628448294296573, 'momentum': 0.4367670627387753}"
