,gen,cost,time,param
0,"[50.0037148499814, 60.11611929475464, -6.59800195221365, -5.313351097070936, 2.9628781339223265, 0.9746700744149865, 0.18821522488254172]",0.05842508110758225,0.27526378631591797,"{'hidden': [50, 60], 'activation': 'sigmoid', 'learning_rate': 0.9746700744149865, 'momentum': 0.18821522488254172}"
1,"[50.0037148499814, 60.11611929475464, -6.59800195221365, -5.313351097070936, 2.9628781339223265, 0.9746700744149865, 0.18821522488254172]",0.05842508110758225,0.5714709758758545,"{'hidden': [50, 60], 'activation': 'sigmoid', 'learning_rate': 0.9746700744149865, 'momentum': 0.18821522488254172}"
2,"[91.08395997634872, 71.54157768263671, -7.1546090314175235, -8.538710489406085, 0.718530511734097, 0.0992433045080785, 0.6675603918315218]",0.021957335979318846,0.8737058639526367,"{'hidden': [91, 72], 'activation': 'identity', 'learning_rate': 0.0992433045080785, 'momentum': 0.6675603918315218}"
3,"[26.03019271105994, 2.4957016688825355, 60.932448253090925, 80.85573971829379, 3.6752378881426253, 0.821366351490904, 0.1870628201575656]",0.007860455001645368,1.330481767654419,"{'hidden': [26, 2, 61, 81], 'activation': 'relu', 'learning_rate': 0.821366351490904, 'momentum': 0.1870628201575656}"
4,"[26.03019271105994, 2.4957016688825355, 60.932448253090925, 80.85573971829379, 3.6752378881426253, 0.821366351490904, 0.1870628201575656]",0.007860455001645368,1.665585994720459,"{'hidden': [26, 2, 61, 81], 'activation': 'relu', 'learning_rate': 0.821366351490904, 'momentum': 0.1870628201575656}"
5,"[26.03019271105994, 2.4957016688825355, 60.932448253090925, 80.85573971829379, 3.6752378881426253, 0.821366351490904, 0.1870628201575656]",0.007860455001645368,1.9797477722167969,"{'hidden': [26, 2, 61, 81], 'activation': 'relu', 'learning_rate': 0.821366351490904, 'momentum': 0.1870628201575656}"
6,"[26.03019271105994, 2.4957016688825355, 60.932448253090925, 80.85573971829379, 3.6752378881426253, 0.821366351490904, 0.1870628201575656]",0.007860455001645368,2.3347978591918945,"{'hidden': [26, 2, 61, 81], 'activation': 'relu', 'learning_rate': 0.821366351490904, 'momentum': 0.1870628201575656}"
7,"[26.03019271105994, 2.4957016688825355, 60.932448253090925, 80.85573971829379, 3.6752378881426253, 0.821366351490904, 0.1870628201575656]",0.007860455001645368,2.6768832206726074,"{'hidden': [26, 2, 61, 81], 'activation': 'relu', 'learning_rate': 0.821366351490904, 'momentum': 0.1870628201575656}"
8,"[26.03019271105994, 2.4957016688825355, 60.932448253090925, 80.85573971829379, 3.6752378881426253, 0.821366351490904, 0.1870628201575656]",0.007860455001645368,3.1007497310638428,"{'hidden': [26, 2, 61, 81], 'activation': 'relu', 'learning_rate': 0.821366351490904, 'momentum': 0.1870628201575656}"
9,"[32.6040358522764, -8.38803551366578, -5.647571069398579, -9.665190626272654, 3.3032769868346423, 0.4681584839707075, 0.9298020833280645]",0.0009837951560376988,3.4108781814575195,"{'hidden': [33], 'activation': 'relu', 'learning_rate': 0.4681584839707075, 'momentum': 0.9298020833280645}"
10,"[32.6040358522764, -8.38803551366578, -5.647571069398579, -9.665190626272654, 3.3032769868346423, 0.4681584839707075, 0.9298020833280645]",0.0009837951560376988,3.685150384902954,"{'hidden': [33], 'activation': 'relu', 'learning_rate': 0.4681584839707075, 'momentum': 0.9298020833280645}"
11,"[32.6040358522764, -8.38803551366578, -5.647571069398579, -9.665190626272654, 3.3032769868346423, 0.4681584839707075, 0.9298020833280645]",0.0009837951560376988,3.959449529647827,"{'hidden': [33], 'activation': 'relu', 'learning_rate': 0.4681584839707075, 'momentum': 0.9298020833280645}"
12,"[32.6040358522764, -8.38803551366578, -5.647571069398579, -9.665190626272654, 3.3032769868346423, 0.4681584839707075, 0.9298020833280645]",0.0009837951560376988,4.2057945728302,"{'hidden': [33], 'activation': 'relu', 'learning_rate': 0.4681584839707075, 'momentum': 0.9298020833280645}"
13,"[32.6040358522764, -8.38803551366578, -5.647571069398579, -9.665190626272654, 3.3032769868346423, 0.4681584839707075, 0.9298020833280645]",0.0009837951560376988,4.490992069244385,"{'hidden': [33], 'activation': 'relu', 'learning_rate': 0.4681584839707075, 'momentum': 0.9298020833280645}"
