,gen,cost,time,param
0,"[83.949697629525, 89.95010801478664, 57.971654822261016, 41.3265485951495, 1.9695861949244897, 0.47796156743420826, 0.7224666265939994]",0.00019886136902170565,0.5365302562713623,"{'hidden': [84, 90, 58, 41], 'activation': 'tanh', 'learning_rate': 0.47796156743420826, 'momentum': 0.7224666265939994}"
1,"[83.949697629525, 89.95010801478664, 57.971654822261016, 41.3265485951495, 1.9695861949244897, 0.47796156743420826, 0.7224666265939994]",0.00019886136902170565,1.3124544620513916,"{'hidden': [84, 90, 58, 41], 'activation': 'tanh', 'learning_rate': 0.47796156743420826, 'momentum': 0.7224666265939994}"
2,"[86.84797605160169, 76.20834808356425, 69.131386734143, 59.173124009570095, 4.515780790459359, 0.4452229089249412, 0.5679648844104211]",5.02603141957057e-17,2.352674961090088,"{'hidden': [87, 76, 69, 59], 'activation': 'leaky_relu', 'learning_rate': 0.4452229089249412, 'momentum': 0.5679648844104211}"
3,"[86.84797605160169, 76.20834808356425, 69.131386734143, 59.173124009570095, 4.515780790459359, 0.4452229089249412, 0.5679648844104211]",5.02603141957057e-17,3.007922887802124,"{'hidden': [87, 76, 69, 59], 'activation': 'leaky_relu', 'learning_rate': 0.4452229089249412, 'momentum': 0.5679648844104211}"
4,"[86.84797605160169, 76.20834808356425, 69.131386734143, 59.173124009570095, 4.515780790459359, 0.4452229089249412, 0.5679648844104211]",5.02603141957057e-17,3.7928779125213623,"{'hidden': [87, 76, 69, 59], 'activation': 'leaky_relu', 'learning_rate': 0.4452229089249412, 'momentum': 0.5679648844104211}"
5,"[86.84797605160169, 76.20834808356425, 69.131386734143, 59.173124009570095, 4.515780790459359, 0.4452229089249412, 0.5679648844104211]",5.02603141957057e-17,4.57373309135437,"{'hidden': [87, 76, 69, 59], 'activation': 'leaky_relu', 'learning_rate': 0.4452229089249412, 'momentum': 0.5679648844104211}"
6,"[86.84797605160169, 76.20834808356425, 69.131386734143, 59.173124009570095, 4.515780790459359, 0.4452229089249412, 0.5679648844104211]",5.02603141957057e-17,5.672792673110962,"{'hidden': [87, 76, 69, 59], 'activation': 'leaky_relu', 'learning_rate': 0.4452229089249412, 'momentum': 0.5679648844104211}"
7,"[86.84797605160169, 76.20834808356425, 69.131386734143, 59.173124009570095, 4.515780790459359, 0.4452229089249412, 0.5679648844104211]",5.02603141957057e-17,6.548494577407837,"{'hidden': [87, 76, 69, 59], 'activation': 'leaky_relu', 'learning_rate': 0.4452229089249412, 'momentum': 0.5679648844104211}"
8,"[86.84797605160169, 76.20834808356425, 69.131386734143, 59.173124009570095, 4.515780790459359, 0.4452229089249412, 0.5679648844104211]",5.02603141957057e-17,7.242596864700317,"{'hidden': [87, 76, 69, 59], 'activation': 'leaky_relu', 'learning_rate': 0.4452229089249412, 'momentum': 0.5679648844104211}"
9,"[86.84797605160169, 76.20834808356425, 69.131386734143, 59.173124009570095, 4.515780790459359, 0.4452229089249412, 0.5679648844104211]",5.02603141957057e-17,8.039501428604126,"{'hidden': [87, 76, 69, 59], 'activation': 'leaky_relu', 'learning_rate': 0.4452229089249412, 'momentum': 0.5679648844104211}"
