,gen,cost,time,param
0,"[86.12500258443936, 3.774455172837138, -5.303355500527667, -9.952079913235108, 0.8489453145587572, 0.8260379934917957, 0.18905408705337523]",0.032405787600808506,0.17054295539855957,"{'hidden': [86, 4], 'activation': 'identity', 'learning_rate': 0.8260379934917957, 'momentum': 0.18905408705337523}"
1,"[12.279444507399708, 50.22430414884997, -6.5705805122054155, -5.171055402197684, 1.396688534520889, 0.7753961410852463, 0.8232329482511478]",1.6025749018752512e-05,0.3406639099121094,"{'hidden': [12, 50], 'activation': 'tanh', 'learning_rate': 0.7753961410852463, 'momentum': 0.8232329482511478}"
2,"[12.279444507399708, 50.22430414884997, -6.5705805122054155, -5.171055402197684, 1.396688534520889, 0.7753961410852463, 0.8232329482511478]",1.6025749018752512e-05,0.6119384765625,"{'hidden': [12, 50], 'activation': 'tanh', 'learning_rate': 0.7753961410852463, 'momentum': 0.8232329482511478}"
3,"[12.279444507399708, 50.22430414884997, -6.5705805122054155, -5.171055402197684, 1.396688534520889, 0.7753961410852463, 0.8232329482511478]",1.6025749018752512e-05,0.8792588710784912,"{'hidden': [12, 50], 'activation': 'tanh', 'learning_rate': 0.7753961410852463, 'momentum': 0.8232329482511478}"
4,"[12.279444507399708, 50.22430414884997, -6.5705805122054155, -5.171055402197684, 1.396688534520889, 0.7753961410852463, 0.8232329482511478]",1.6025749018752512e-05,1.0398330688476562,"{'hidden': [12, 50], 'activation': 'tanh', 'learning_rate': 0.7753961410852463, 'momentum': 0.8232329482511478}"
5,"[12.279444507399708, 50.22430414884997, -6.5705805122054155, -5.171055402197684, 1.396688534520889, 0.7753961410852463, 0.8232329482511478]",1.6025749018752512e-05,1.2482829093933105,"{'hidden': [12, 50], 'activation': 'tanh', 'learning_rate': 0.7753961410852463, 'momentum': 0.8232329482511478}"
6,"[12.279444507399708, 50.22430414884997, -6.5705805122054155, -5.171055402197684, 1.396688534520889, 0.7753961410852463, 0.8232329482511478]",1.6025749018752512e-05,1.4126701354980469,"{'hidden': [12, 50], 'activation': 'tanh', 'learning_rate': 0.7753961410852463, 'momentum': 0.8232329482511478}"
7,"[48.6542999726521, 96.0482513883223, 26.90739449147108, 66.89813787980044, 3.750907376069312, 0.6236497094618296, 0.5311869345406758]",6.589986446160495e-09,1.6672239303588867,"{'hidden': [49, 96, 27, 67], 'activation': 'relu', 'learning_rate': 0.6236497094618296, 'momentum': 0.5311869345406758}"
8,"[48.6542999726521, 96.0482513883223, 26.90739449147108, 66.89813787980044, 3.750907376069312, 0.6236497094618296, 0.5311869345406758]",6.589986446160495e-09,1.9893362522125244,"{'hidden': [49, 96, 27, 67], 'activation': 'relu', 'learning_rate': 0.6236497094618296, 'momentum': 0.5311869345406758}"
9,"[48.6542999726521, 96.0482513883223, 26.90739449147108, 66.89813787980044, 3.750907376069312, 0.6236497094618296, 0.5311869345406758]",6.589986446160495e-09,2.2712275981903076,"{'hidden': [49, 96, 27, 67], 'activation': 'relu', 'learning_rate': 0.6236497094618296, 'momentum': 0.5311869345406758}"
