,0
var,"['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_pos_CT'
 'numDraughtDiff_pos_CT' 'kurs_USD' 'EksporNilai']"
gen,"[42.39370559442719, 85.44894970277679, 93.71085293426952, 68.64005780425246, 4.737344789325195, 0.8958113457858244, 0.8461969492704134]"
param,"{'hidden': [42, 85, 94, 69], 'activation': 'leaky_relu', 'learning_rate': 0.8958113457858244, 'momentum': 0.8461969492704134}"
importance,"[['numVisit_CT' 0.001659999999999998]
 ['numVessel_CT' 0.081464]
 ['kurs_USD' 0.072924]]"
RMSE train,0.19345163841550747
MAPE train,42.260624314452606
RMSE test,1.1210143764981495
MAPE test,206.29257615062596
prediksi train true,"[[13.5884]
 [12.5341]
 [14.4228]
 [13.3869]
 [15.3966]
 [12.973 ]
 [17.2396]
 [16.3154]
 [16.4323]
 [17.7155]
 [16.7855]
 [17.6951]
 [16.8879]
 [17.5354]
 [17.7607]
 [15.791 ]
 [14.3195]
 [16.7335]
 [19.4709]]"
prediksi test true,"[[14.261 ]
 [12.6882]
 [13.8161]
 [14.9991]
 [12.9498]]"
RMSE train true,2.9268865519319807
MAPE train true,18.513608925863757
RMSE test true,1.8011073633856858
MAPE test true,9.043525749740276
