,0
var,"['numVisit_CT' 'numVessel_CT' 'sumDraughtDiff_pos_CT'
 'numDraughtDiff_pos_CT' 'EksporNilai']"
gen,"[51.05600837765716, -5.223650619114252, -5.3263849131762955, -8.31529975938574, 4.7990563731675655, 0.7339481201925963, 0.8597094436673043]"
param,"{'hidden': [51], 'activation': 'leaky_relu', 'learning_rate': 0.7339481201925963, 'momentum': 0.8597094436673043}"
importance,"[['numVisit_CT' 0.17666200000000004]
 ['numVessel_CT' 0.15762600000000002]
 ['sumDraughtDiff_pos_CT' 0.19491999999999993]
 ['numDraughtDiff_pos_CT' 0.08961800000000002]]"
RMSE train,0.4870421335632329
MAPE train,105.78443888464302
RMSE test,0.795026840315907
MAPE test,192.11025535415402
prediksi train true,"[[13.8632]
 [12.9942]
 [14.7031]
 [14.0861]
 [16.775 ]
 [15.0613]
 [20.0459]
 [20.335 ]
 [20.6102]
 [22.4065]
 [23.0396]
 [25.0557]
 [24.953 ]
 [26.4658]
 [27.2447]
 [25.2631]
 [24.5837]
 [27.7039]
 [33.6092]]"
prediksi test true,"[[12.9869]
 [11.9679]
 [13.6814]
 [13.2237]
 [13.6614]]"
RMSE train true,9.842357859090027
MAPE train true,60.410194342687916
RMSE test true,1.8366705888301715
MAPE test true,10.116325937712226
