,0
var,['numVessel_CT' 'sumDraughtDiff_pos_CT' 'EksporNilai']
gen,"[47.6463677772981, 18.679641448830285, 76.45588328598728, 75.93699353739792, 3.365235646996439, 0.6268495730790289, 0.5187068488323934]"
param,"{'hidden': [48, 19, 76, 76], 'activation': 'relu', 'learning_rate': 0.6268495730790289, 'momentum': 0.5187068488323934}"
importance,[]
RMSE train,0.2934389755676631
MAPE train,110.52608450304156
RMSE test,0.9310439484543176
MAPE test,189.03301039221034
prediksi train true,"[[13.5005]
 [12.4787]
 [13.6394]
 [12.4309]
 [13.8156]
 [11.5925]
 [15.154 ]
 [14.8708]
 [14.6022]
 [15.6019]
 [14.719 ]
 [15.7577]
 [14.9567]
 [14.2249]
 [15.0556]
 [13.4107]
 [12.4159]
 [13.8319]
 [16.0194]]"
prediksi test true,"[[13.0235]
 [12.0734]
 [11.5945]
 [10.5897]
 [10.115 ]]"
RMSE train true,1.0936487813608158
MAPE train true,6.926292721431469
RMSE test true,3.854635427672756
MAPE test true,20.556242843025817
