,0
var,['numVessel_CT' 'sumDraughtDiff_pos_CT' 'bi_rate' 'EksporNilai']
gen,"[98.92031122513373, 86.94322818302773, 82.41538812634019, -9.659287885686838, 4.123832370292004, 0.9773582553446347, 0.6946490083450982]"
param,"{'hidden': [99, 87, 82], 'activation': 'leaky_relu', 'learning_rate': 0.9773582553446347, 'momentum': 0.6946490083450982}"
importance,"[['numVessel_CT' 0.27753800000000006]
 ['sumDraughtDiff_pos_CT' 0.016472]
 ['bi_rate' 0.240902]]"
RMSE train,0.14545941069805993
MAPE train,36.55251062899027
RMSE test,0.601169135367764
MAPE test,98.11702350225715
prediksi train true,"[[13.3409]
 [11.654 ]
 [13.0447]
 [11.5719]
 [12.9288]
 [10.1929]
 [13.0085]
 [12.1336]
 [11.8219]
 [12.0733]
 [11.2206]
 [11.4894]
 [10.7401]
 [10.9436]
 [11.0777]
 [ 9.2526]
 [ 7.9291]
 [ 9.0135]
 [10.1319]]"
prediksi test true,"[[12.6562]
 [11.7292]
 [11.9238]
 [13.5424]
 [14.8882]]"
RMSE train true,2.4484064984512193
MAPE train true,17.302035354112522
RMSE test true,1.8324201503761501
MAPE test true,11.509471522122816
