,0
var,['numVisit_CT' 'EksporNilai']
gen,"[75.02941650240707, 50.05503548168511, 99.84260400762831, -7.612981664524817, 4.801861896451352, 0.7347716734280825, 0.5661957671681955]"
param,"{'hidden': [75, 50, 100], 'activation': 'leaky_relu', 'learning_rate': 0.7347716734280825, 'momentum': 0.5661957671681955}"
importance,[]
RMSE train,0.7222745371524598
MAPE train,113.55892056451478
RMSE test,0.78519609807039
MAPE test,191.4499137062037
prediksi train true,"[[14.0074]
 [13.4015]
 [13.9338]
 [13.3302]
 [14.6492]
 [11.5489]
 [13.0307]
 [12.5899]
 [12.2919]
 [12.1667]
 [13.6838]
 [12.8876]
 [12.6733]
 [12.4242]
 [12.2071]
 [10.2627]
 [ 9.8412]
 [ 9.4466]
 [10.6114]]"
prediksi test true,"[[13.7752]
 [13.2044]
 [14.8339]
 [14.7224]
 [14.0473]]"
RMSE train true,1.5996387758417954
MAPE train true,9.474562938894062
RMSE test true,1.2449274423960957
MAPE test true,6.493834232013593
