,0
var,['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'EksporNilai']
gen,"[90.00098300663691, 14.988562382770477, -5.621662945085063, -8.547268233914467, 4.802720536068293, 0.6876034414564896, 0.8665918633534219]"
param,"{'hidden': [90, 15], 'activation': 'leaky_relu', 'learning_rate': 0.6876034414564896, 'momentum': 0.8665918633534219}"
importance,"[['numVisit_CT' 0.009236]
 ['numVessel_CT' 0.019001999999999998]
 ['timeInPort_CT' 0.06610999999999999]]"
RMSE train,0.20195380364815155
MAPE train,47.72943513858866
RMSE test,1.3935102836580084
MAPE test,329.9660252688759
prediksi train true,"[[13.3465]
 [11.8888]
 [13.0624]
 [11.7114]
 [12.7927]
 [ 9.9866]
 [12.3113]
 [11.2907]
 [10.9859]
 [11.5231]
 [10.7317]
 [10.8675]
 [10.1397]
 [10.2085]
 [10.044 ]
 [ 8.3524]
 [ 7.3018]
 [ 8.2028]
 [ 9.2955]]"
prediksi test true,"[[16.4253]
 [14.7061]
 [17.4507]
 [18.4725]
 [16.9517]]"
RMSE train true,3.0338933920332205
MAPE train true,21.027473359357998
RMSE test true,2.5169637462102834
MAPE test true,15.16515088440446
