,gen,cost,time,param
0,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,0.13563823699951172,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
1,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,0.2593543529510498,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
2,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,0.45378947257995605,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
3,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,0.6079554557800293,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
4,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,0.7955057621002197,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
5,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,0.9217038154602051,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
6,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,1.121720790863037,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
7,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,1.2683353424072266,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
8,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,1.488706111907959,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
9,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,1.6859791278839111,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
10,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,1.844160556793213,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
11,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,2.1717917919158936,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
12,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,2.3383517265319824,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
13,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,2.5519111156463623,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
14,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,2.779399871826172,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
15,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,3.066239833831787,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
16,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,3.3215155601501465,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
17,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,3.8191843032836914,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
18,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,4.546281576156616,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
19,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,4.996721267700195,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
20,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,5.2442450523376465,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
21,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,5.4557647705078125,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
22,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,5.723008871078491,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
23,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,5.916574001312256,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
24,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,6.102088451385498,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
25,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,6.288959264755249,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
26,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,6.591844797134399,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
27,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,6.963958740234375,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
28,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,7.219773530960083,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
29,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,7.535284757614136,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
30,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,7.788525104522705,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
31,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,8.179990768432617,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
32,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,8.518614768981934,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
33,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,8.73023271560669,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
34,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,9.037749767303467,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
35,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,9.334949731826782,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
36,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,9.814648866653442,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
37,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,10.160320520401001,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
38,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,10.536129713058472,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
39,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,10.959554195404053,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
40,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,11.329615831375122,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
41,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,11.636849164962769,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
42,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,11.927748203277588,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
43,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,12.184619903564453,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
44,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,12.470012187957764,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
45,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,12.811103343963623,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
46,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,13.088449239730835,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
47,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,13.433013677597046,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
48,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,13.778087615966797,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
49,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,14.092190504074097,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
50,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,14.327122211456299,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
51,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,14.559012413024902,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
52,"[11.790848534952392, -8.63746725383154, -7.008073264160043, -7.0514993424748, 2.3648368086336538, 0.5991637238948028, 0.10228638710930382]",0.18431905582968364,14.780385732650757,"{'hidden': [12], 'activation': 'sigmoid', 'learning_rate': 0.5991637238948028, 'momentum': 0.10228638710930382}"
53,"[29.55233644383448, -7.110142311306644, -8.211360281707972, -5.241577810160084, 2.160642133922297, 0.2362540979149692, 0.8090936267564035]",0.10132916621675184,14.998851776123047,"{'hidden': [30], 'activation': 'sigmoid', 'learning_rate': 0.2362540979149692, 'momentum': 0.8090936267564035}"
54,"[29.55233644383448, -7.110142311306644, -8.211360281707972, -5.241577810160084, 2.160642133922297, 0.2362540979149692, 0.8090936267564035]",0.10132916621675184,15.27128791809082,"{'hidden': [30], 'activation': 'sigmoid', 'learning_rate': 0.2362540979149692, 'momentum': 0.8090936267564035}"
55,"[29.55233644383448, -7.110142311306644, -8.211360281707972, -5.241577810160084, 2.160642133922297, 0.2362540979149692, 0.8090936267564035]",0.10132916621675184,15.512115955352783,"{'hidden': [30], 'activation': 'sigmoid', 'learning_rate': 0.2362540979149692, 'momentum': 0.8090936267564035}"
56,"[29.55233644383448, -7.110142311306644, -8.211360281707972, -5.241577810160084, 2.160642133922297, 0.2362540979149692, 0.8090936267564035]",0.10132916621675184,15.751499652862549,"{'hidden': [30], 'activation': 'sigmoid', 'learning_rate': 0.2362540979149692, 'momentum': 0.8090936267564035}"
57,"[29.55233644383448, -7.110142311306644, -8.211360281707972, -5.241577810160084, 2.160642133922297, 0.2362540979149692, 0.8090936267564035]",0.10132916621675184,16.05313467979431,"{'hidden': [30], 'activation': 'sigmoid', 'learning_rate': 0.2362540979149692, 'momentum': 0.8090936267564035}"
58,"[29.55233644383448, -7.110142311306644, -8.211360281707972, -5.241577810160084, 2.160642133922297, 0.2362540979149692, 0.8090936267564035]",0.10132916621675184,16.288206577301025,"{'hidden': [30], 'activation': 'sigmoid', 'learning_rate': 0.2362540979149692, 'momentum': 0.8090936267564035}"
59,"[29.55233644383448, -7.110142311306644, -8.211360281707972, -5.241577810160084, 2.160642133922297, 0.2362540979149692, 0.8090936267564035]",0.10132916621675184,16.608349800109863,"{'hidden': [30], 'activation': 'sigmoid', 'learning_rate': 0.2362540979149692, 'momentum': 0.8090936267564035}"
