,gen,cost,time,param
0,"[76.71617028939654, 3.5553787879992114, 14.381462626327453, -8.006684861138435, 0.7304062208896231, 0.36753442229153144, 0.06817230938549357]",0.3813607028793583,0.2832043170928955,"{'hidden': [77, 4, 14], 'activation': 'identity', 'learning_rate': 0.36753442229153144, 'momentum': 0.06817230938549357}"
1,"[76.71617028939654, 3.5553787879992114, 14.381462626327453, -8.006684861138435, 0.7304062208896231, 0.36753442229153144, 0.06817230938549357]",0.3813607028793583,0.49463701248168945,"{'hidden': [77, 4, 14], 'activation': 'identity', 'learning_rate': 0.36753442229153144, 'momentum': 0.06817230938549357}"
2,"[76.71617028939654, 3.5553787879992114, 14.381462626327453, -8.006684861138435, 0.7304062208896231, 0.36753442229153144, 0.06817230938549357]",0.3813607028793583,0.7060737609863281,"{'hidden': [77, 4, 14], 'activation': 'identity', 'learning_rate': 0.36753442229153144, 'momentum': 0.06817230938549357}"
3,"[81.80418399497846, 38.147036520333565, -9.081205378251758, -8.86690435694445, 1.8000329627516842, 0.7647689915963952, 0.02391083969689156]",0.36339008261549,0.9284789562225342,"{'hidden': [82, 38], 'activation': 'tanh', 'learning_rate': 0.7647689915963952, 'momentum': 0.02391083969689156}"
4,"[58.705069972296585, 6.526556883301655, -8.57076679773158, -5.988027003510664, 4.899660899400643, 0.25196106979485344, 0.9453855621585905]",0.35368806886984483,1.1399128437042236,"{'hidden': [59, 7], 'activation': 'leaky_relu', 'learning_rate': 0.25196106979485344, 'momentum': 0.9453855621585905}"
5,"[58.705069972296585, 6.526556883301655, -8.57076679773158, -5.988027003510664, 4.899660899400643, 0.25196106979485344, 0.9453855621585905]",0.35368806886984483,1.3752846717834473,"{'hidden': [59, 7], 'activation': 'leaky_relu', 'learning_rate': 0.25196106979485344, 'momentum': 0.9453855621585905}"
6,"[58.705069972296585, 6.526556883301655, -8.57076679773158, -5.988027003510664, 4.899660899400643, 0.25196106979485344, 0.9453855621585905]",0.35368806886984483,1.6016802787780762,"{'hidden': [59, 7], 'activation': 'leaky_relu', 'learning_rate': 0.25196106979485344, 'momentum': 0.9453855621585905}"
7,"[58.705069972296585, 6.526556883301655, -8.57076679773158, -5.988027003510664, 4.899660899400643, 0.25196106979485344, 0.9453855621585905]",0.35368806886984483,1.7562649250030518,"{'hidden': [59, 7], 'activation': 'leaky_relu', 'learning_rate': 0.25196106979485344, 'momentum': 0.9453855621585905}"
8,"[58.705069972296585, 6.526556883301655, -8.57076679773158, -5.988027003510664, 4.899660899400643, 0.25196106979485344, 0.9453855621585905]",0.35368806886984483,2.029533624649048,"{'hidden': [59, 7], 'activation': 'leaky_relu', 'learning_rate': 0.25196106979485344, 'momentum': 0.9453855621585905}"
9,"[58.705069972296585, 6.526556883301655, -8.57076679773158, -5.988027003510664, 4.899660899400643, 0.25196106979485344, 0.9453855621585905]",0.35368806886984483,2.1918087005615234,"{'hidden': [59, 7], 'activation': 'leaky_relu', 'learning_rate': 0.25196106979485344, 'momentum': 0.9453855621585905}"
