,gen,cost,time,param
0,"[88.05208175218269, 54.187749743095495, -7.030609218254251, -9.162666650662656, 2.5061097111286155, 0.6518902783793189, 0.48347990600594815]",0.3977358905843757,0.26828956604003906,"{'hidden': [88, 54], 'activation': 'sigmoid', 'learning_rate': 0.6518902783793189, 'momentum': 0.48347990600594815}"
1,"[88.05208175218269, 54.187749743095495, -7.030609218254251, -9.162666650662656, 2.5061097111286155, 0.6518902783793189, 0.48347990600594815]",0.3977358905843757,0.4528477191925049,"{'hidden': [88, 54], 'activation': 'sigmoid', 'learning_rate': 0.6518902783793189, 'momentum': 0.48347990600594815}"
2,"[88.05208175218269, 54.187749743095495, -7.030609218254251, -9.162666650662656, 2.5061097111286155, 0.6518902783793189, 0.48347990600594815]",0.3977358905843757,0.6912033557891846,"{'hidden': [88, 54], 'activation': 'sigmoid', 'learning_rate': 0.6518902783793189, 'momentum': 0.48347990600594815}"
3,"[88.05208175218269, 54.187749743095495, -7.030609218254251, -9.162666650662656, 2.5061097111286155, 0.6518902783793189, 0.48347990600594815]",0.3977358905843757,0.9467620849609375,"{'hidden': [88, 54], 'activation': 'sigmoid', 'learning_rate': 0.6518902783793189, 'momentum': 0.48347990600594815}"
4,"[88.05208175218269, 54.187749743095495, -7.030609218254251, -9.162666650662656, 2.5061097111286155, 0.6518902783793189, 0.48347990600594815]",0.3977358905843757,1.1169297695159912,"{'hidden': [88, 54], 'activation': 'sigmoid', 'learning_rate': 0.6518902783793189, 'momentum': 0.48347990600594815}"
5,"[88.05208175218269, 54.187749743095495, -7.030609218254251, -9.162666650662656, 2.5061097111286155, 0.6518902783793189, 0.48347990600594815]",0.3977358905843757,1.2990458011627197,"{'hidden': [88, 54], 'activation': 'sigmoid', 'learning_rate': 0.6518902783793189, 'momentum': 0.48347990600594815}"
6,"[88.05208175218269, 54.187749743095495, -7.030609218254251, -9.162666650662656, 2.5061097111286155, 0.6518902783793189, 0.48347990600594815]",0.3977358905843757,1.549285888671875,"{'hidden': [88, 54], 'activation': 'sigmoid', 'learning_rate': 0.6518902783793189, 'momentum': 0.48347990600594815}"
7,"[88.05208175218269, 54.187749743095495, -7.030609218254251, -9.162666650662656, 2.5061097111286155, 0.6518902783793189, 0.48347990600594815]",0.3977358905843757,1.7677135467529297,"{'hidden': [88, 54], 'activation': 'sigmoid', 'learning_rate': 0.6518902783793189, 'momentum': 0.48347990600594815}"
8,"[88.05208175218269, 54.187749743095495, -7.030609218254251, -9.162666650662656, 2.5061097111286155, 0.6518902783793189, 0.48347990600594815]",0.3977358905843757,1.9671850204467773,"{'hidden': [88, 54], 'activation': 'sigmoid', 'learning_rate': 0.6518902783793189, 'momentum': 0.48347990600594815}"
9,"[88.05208175218269, 54.187749743095495, -7.030609218254251, -9.162666650662656, 2.5061097111286155, 0.6518902783793189, 0.48347990600594815]",0.3977358905843757,2.1716387271881104,"{'hidden': [88, 54], 'activation': 'sigmoid', 'learning_rate': 0.6518902783793189, 'momentum': 0.48347990600594815}"
10,"[88.05208175218269, 54.187749743095495, -7.030609218254251, -9.162666650662656, 2.5061097111286155, 0.6518902783793189, 0.48347990600594815]",0.3977358905843757,2.426429510116577,"{'hidden': [88, 54], 'activation': 'sigmoid', 'learning_rate': 0.6518902783793189, 'momentum': 0.48347990600594815}"
11,"[88.05208175218269, 54.187749743095495, -7.030609218254251, -9.162666650662656, 2.5061097111286155, 0.6518902783793189, 0.48347990600594815]",0.3977358905843757,3.0622451305389404,"{'hidden': [88, 54], 'activation': 'sigmoid', 'learning_rate': 0.6518902783793189, 'momentum': 0.48347990600594815}"
