,gen,cost,time,param
0,"[43.41885144335072, 61.13351081885444, 96.16864393556624, -5.3558647400659956, 2.7538286605069233, 0.6741774728272864, 0.7538964362730577]",0.43532703906727194,0.30320000648498535,"{'hidden': [43, 61, 96], 'activation': 'sigmoid', 'learning_rate': 0.6741774728272864, 'momentum': 0.7538964362730577}"
1,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,0.761711597442627,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
2,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,1.118546485900879,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
3,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,1.5100531578063965,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
4,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,2.109699010848999,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
5,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,2.712920904159546,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
6,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,3.0929393768310547,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
7,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,3.5781872272491455,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
8,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,4.014058589935303,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
9,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,4.385485410690308,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
10,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,4.806368827819824,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
11,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,5.376884460449219,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
12,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,5.857603073120117,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
13,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,6.6970155239105225,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
14,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,7.277531862258911,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
15,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,7.797248840332031,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
16,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,8.195626020431519,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
17,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,8.734813451766968,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
18,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,9.029037714004517,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
19,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,9.34740686416626,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
20,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,9.853685140609741,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
21,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,10.450568914413452,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
22,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,10.9043550491333,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
23,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,11.424667596817017,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
24,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,12.132977962493896,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
25,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,12.668458938598633,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
26,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,13.193222999572754,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
27,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,13.629018783569336,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
28,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,13.983107328414917,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
29,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,14.262145280838013,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
30,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,14.766865253448486,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
31,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,15.255596399307251,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
32,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,15.633634567260742,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
33,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,16.03696870803833,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
34,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,16.403587341308594,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
35,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,16.921026706695557,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
36,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,17.470157623291016,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
37,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,17.787670373916626,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
38,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,18.17223882675171,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
39,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,18.605198621749878,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
40,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,19.032660007476807,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
41,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,19.562585592269897,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
42,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,20.137688159942627,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
43,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,20.5426983833313,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
44,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,20.926695108413696,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
45,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,21.240848779678345,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
46,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,21.69462776184082,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
47,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,22.09223985671997,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
48,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,22.431187391281128,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
49,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,23.114594221115112,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
50,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,23.846362113952637,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
51,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,24.52057147026062,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
52,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,25.022228240966797,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
53,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]",0.1641408033410485,25.38235855102539,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
