,gen,cost,time,param
0,"[62.48285340705512, 62.18712695186862, 1.305165946116547, -8.794528387684622, 1.9228824978387944, 0.8766075239615979, 0.16217628801797046]",0.41684723948919256,0.28641843795776367,"{'hidden': [62, 62, 1], 'activation': 'tanh', 'learning_rate': 0.8766075239615979, 'momentum': 0.16217628801797046}"
1,"[62.48285340705512, 62.18712695186862, 1.305165946116547, -8.794528387684622, 1.9228824978387944, 0.8766075239615979, 0.16217628801797046]",0.41684723948919256,0.6655142307281494,"{'hidden': [62, 62, 1], 'activation': 'tanh', 'learning_rate': 0.8766075239615979, 'momentum': 0.16217628801797046}"
2,"[62.48285340705512, 62.18712695186862, 1.305165946116547, -8.794528387684622, 1.9228824978387944, 0.8766075239615979, 0.16217628801797046]",0.41684723948919256,0.9368157386779785,"{'hidden': [62, 62, 1], 'activation': 'tanh', 'learning_rate': 0.8766075239615979, 'momentum': 0.16217628801797046}"
3,"[12.770133339859926, 49.2668170755341, 28.204133946884202, -7.430146724046562, 1.731169011924419, 0.18940313632667571, 0.9719015827362388]",0.4156521474521299,1.2756237983703613,"{'hidden': [13, 49, 28], 'activation': 'tanh', 'learning_rate': 0.18940313632667571, 'momentum': 0.9719015827362388}"
4,"[12.770133339859926, 49.2668170755341, 28.204133946884202, -7.430146724046562, 1.731169011924419, 0.18940313632667571, 0.9719015827362388]",0.4156521474521299,1.5402755737304688,"{'hidden': [13, 49, 28], 'activation': 'tanh', 'learning_rate': 0.18940313632667571, 'momentum': 0.9719015827362388}"
5,"[12.770133339859926, 49.2668170755341, 28.204133946884202, -7.430146724046562, 1.731169011924419, 0.18940313632667571, 0.9719015827362388]",0.4156521474521299,1.8335845470428467,"{'hidden': [13, 49, 28], 'activation': 'tanh', 'learning_rate': 0.18940313632667571, 'momentum': 0.9719015827362388}"
6,"[12.770133339859926, 49.2668170755341, 28.204133946884202, -7.430146724046562, 1.731169011924419, 0.18940313632667571, 0.9719015827362388]",0.4156521474521299,2.209433078765869,"{'hidden': [13, 49, 28], 'activation': 'tanh', 'learning_rate': 0.18940313632667571, 'momentum': 0.9719015827362388}"
7,"[12.770133339859926, 49.2668170755341, 28.204133946884202, -7.430146724046562, 1.731169011924419, 0.18940313632667571, 0.9719015827362388]",0.4156521474521299,2.5300638675689697,"{'hidden': [13, 49, 28], 'activation': 'tanh', 'learning_rate': 0.18940313632667571, 'momentum': 0.9719015827362388}"
8,"[12.770133339859926, 49.2668170755341, 28.204133946884202, -7.430146724046562, 1.731169011924419, 0.18940313632667571, 0.9719015827362388]",0.4156521474521299,3.0042829513549805,"{'hidden': [13, 49, 28], 'activation': 'tanh', 'learning_rate': 0.18940313632667571, 'momentum': 0.9719015827362388}"
9,"[12.770133339859926, 49.2668170755341, 28.204133946884202, -7.430146724046562, 1.731169011924419, 0.18940313632667571, 0.9719015827362388]",0.4156521474521299,3.442659854888916,"{'hidden': [13, 49, 28], 'activation': 'tanh', 'learning_rate': 0.18940313632667571, 'momentum': 0.9719015827362388}"
