,0
var,"['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_pos_CT'
 'numDraughtDiff_pos_CT' 'kurs_USD' 'EksporVolume']"
gen,"[8.07371983383738, 96.5329905810652, -9.971150524615581, -7.237350129089638, 1.0437240023655012, 0.10709698959912306, 0.24021489110154703]"
param,"{'hidden': [8, 97], 'activation': 'tanh', 'learning_rate': 0.10709698959912306, 'momentum': 0.24021489110154703}"
importance,"[['numVessel_CT' 0.06623]
 ['kurs_USD' 0.0017420000000000014]]"
RMSE train,1.471520488007452
MAPE train,33.820698423516916
RMSE test,0.9906611003218682
MAPE test,22.136361018645694
prediksi train true,"[[48.2947]
 [45.7057]
 [45.1773]
 [42.5954]
 [43.8353]
 [41.2013]
 [42.9447]
 [40.9883]
 [39.976 ]
 [40.2887]
 [41.9073]
 [39.8808]
 [40.4871]
 [38.3854]
 [37.0952]
 [34.9051]
 [33.4436]
 [32.6131]
 [33.8805]]"
prediksi test true,"[[48.5809]
 [48.0457]
 [50.3966]
 [52.7595]
 [53.1552]]"
RMSE train true,12.57644619515269
MAPE train true,22.620713169273646
RMSE test true,3.7307832853000518
MAPE test true,7.15923668013269
