,0
var,"['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'numDraughtDiff_pos_CT'
 'EksporVolume']"
gen,"[60.42898865369087, 8.813970116907214, 68.83668991811085, -9.528352808731189, 4.351578681901376, 0.15126298468092303, 0.4370140913110123]"
param,"{'hidden': [60, 9, 69], 'activation': 'leaky_relu', 'learning_rate': 0.15126298468092303, 'momentum': 0.4370140913110123}"
importance,"[['numVisit_CT' 0.025706000000000003]
 ['numVessel_CT' 0.09047600000000003]
 ['timeInPort_CT' 0.031522]
 ['numDraughtDiff_pos_CT' 0.037705999999999996]]"
RMSE train,1.0407607188720527
MAPE train,23.30647191538496
RMSE test,1.2304720573592998
MAPE test,30.73879471071504
prediksi train true,"[[47.6778]
 [44.7294]
 [47.328 ]
 [41.1941]
 [44.4352]
 [34.8442]
 [37.1198]
 [36.8612]
 [36.3541]
 [38.4494]
 [41.2612]
 [39.6629]
 [36.8119]
 [35.48  ]
 [37.4083]
 [30.0838]
 [28.5307]
 [28.0533]
 [29.9996]]"
prediksi test true,"[[45.9059]
 [42.8261]
 [45.311 ]
 [45.0569]
 [43.8583]]"
RMSE train true,14.987348803901009
MAPE train true,27.726395708162737
RMSE test true,7.201141604373425
MAPE test true,10.169698684076526
