,0
var,"['numVisit_CT' 'numVessel_CT' 'sumDraughtDiff_pos_CT'
 'numDraughtDiff_pos_CT' 'EksporVolume']"
gen,"[85.42492064002957, 45.063507175306924, 93.50038677923676, 36.07683832198111, 1.3764581319417237, 0.8264274891211963, 0.010005842516308316]"
param,"{'hidden': [85, 45, 94, 36], 'activation': 'tanh', 'learning_rate': 0.8264274891211963, 'momentum': 0.010005842516308316}"
importance,"[['numVessel_CT' 0.013484000000000003]
 ['sumDraughtDiff_pos_CT' 0.048488]
 ['numDraughtDiff_pos_CT' 0.014986000000000001]]"
RMSE train,1.1937204080800559
MAPE train,28.113692864815903
RMSE test,1.3346585668088653
MAPE test,31.29769198050222
prediksi train true,"[[46.2084]
 [43.0573]
 [43.5963]
 [39.6901]
 [41.5382]
 [34.2463]
 [36.0663]
 [34.4101]
 [32.7109]
 [32.8844]
 [34.9372]
 [33.0442]
 [30.1808]
 [29.1274]
 [29.0539]
 [24.2316]
 [22.641 ]
 [21.6878]
 [22.4222]]"
prediksi test true,"[[47.9738]
 [44.5443]
 [47.9478]
 [48.9969]
 [46.7035]]"
RMSE train true,19.68610744857213
MAPE train true,36.42890444164058
RMSE test true,5.5020413121351845
MAPE test true,7.913023952085055
