,0
var,"['numVisit_CT' 'numVessel_CT' 'sumDraughtDiff_pos_CT'
 'numDraughtDiff_pos_CT' 'bi_rate' 'EksporVolume']"
gen,"[22.26206558699734, -7.043485471411435, -8.786155777732791, -8.87937329303389, 4.537166735421729, 0.014099594631500123, 0.2928500221902839]"
param,"{'hidden': [22], 'activation': 'leaky_relu', 'learning_rate': 0.014099594631500123, 'momentum': 0.2928500221902839}"
importance,"[['numVisit_CT' 0.037305999999999985]
 ['numVessel_CT' 0.10710199999999999]
 ['sumDraughtDiff_pos_CT' 0.021820000000000003]
 ['numDraughtDiff_pos_CT' 4.000000000000009e-06]
 ['bi_rate' 0.029208000000000015]]"
RMSE train,1.1788193836462548
MAPE train,24.85467813962166
RMSE test,1.3313795775755302
MAPE test,33.686006922427794
prediksi train true,"[[50.9856]
 [47.278 ]
 [49.0435]
 [43.1946]
 [46.5608]
 [38.6597]
 [42.0027]
 [41.8005]
 [41.3383]
 [43.3822]
 [49.5804]
 [48.1995]
 [47.2938]
 [45.5124]
 [47.8824]
 [40.947 ]
 [38.8347]
 [38.5247]
 [41.4521]]"
prediksi test true,"[[44.6115]
 [41.2677]
 [42.7989]
 [41.8118]
 [40.5162]]"
RMSE train true,8.785316314173294
MAPE train true,14.512477891055415
RMSE test true,9.400334485859133
MAPE test true,13.73305665796988
