,0
var,"['numVisit_CT' 'numVessel_CT' 'sumDraughtDiff_pos_CT'
 'numDraughtDiff_pos_CT' 'kurs_USD' 'EksporVolume']"
gen,"[64.30735770706079, 66.55350734155269, -8.46812359003621, -6.119536356023143, 1.8005597557834239, 0.02299429027621891, 0.2220137203719711]"
param,"{'hidden': [64, 67], 'activation': 'tanh', 'learning_rate': 0.02299429027621891, 'momentum': 0.2220137203719711}"
importance,"[['numVessel_CT' 0.024660000000000005]
 ['sumDraughtDiff_pos_CT' 0.010802]
 ['numDraughtDiff_pos_CT' 0.0047740000000000005]]"
RMSE train,1.2161178245801636
MAPE train,24.671126543969635
RMSE test,1.7524048033932205
MAPE test,41.39552587695769
prediksi train true,"[[48.585 ]
 [47.1213]
 [49.6387]
 [46.9151]
 [50.7188]
 [43.1652]
 [47.2493]
 [46.9866]
 [47.1172]
 [49.7712]
 [56.3741]
 [56.012 ]
 [55.791 ]
 [55.0088]
 [55.8975]
 [50.0187]
 [49.5458]
 [49.9727]
 [53.7277]]"
prediksi test true,"[[45.6122]
 [40.0509]
 [42.7   ]
 [41.7421]
 [38.2155]]"
RMSE train true,6.062973817475146
MAPE train true,10.183292273029613
RMSE test true,10.37316142964308
MAPE test true,15.616852115419242
