,0
var,['numVessel_CT' 'EksporVolume']
gen,"[54.12092724255405, 34.3692771116248, -7.633936678637703, -6.04801129599955, 4.004745896168685, 0.10789836669157704, 0.02502267518661594]"
param,"{'hidden': [54, 34], 'activation': 'leaky_relu', 'learning_rate': 0.10789836669157704, 'momentum': 0.02502267518661594}"
importance,[['numVessel_CT' 0.058148]]
RMSE train,1.3340925957690812
MAPE train,31.185175120354273
RMSE test,1.2973612044887115
MAPE test,32.40330926719087
prediksi train true,"[[50.9536]
 [47.613 ]
 [48.0329]
 [42.4542]
 [43.9088]
 [39.8597]
 [41.184 ]
 [40.7988]
 [39.9828]
 [40.6276]
 [43.3247]
 [43.2143]
 [42.8859]
 [40.2973]
 [41.3158]
 [37.8173]
 [36.1859]
 [35.5345]
 [36.4555]]"
prediksi test true,"[[44.0265]
 [42.516 ]
 [41.6885]
 [40.0619]
 [40.6974]]"
RMSE train true,11.23318712232751
MAPE train true,19.600647032645153
RMSE test true,9.83908999137202
MAPE test true,13.96037917967819
