,0
var,['numVisit_CT' 'EksporVolume']
gen,"[52.36302013895816, 24.26894535588129, -7.143598248864935, -9.007061558288761, 1.4310625778304726, 0.21021661690615456, 0.4446454434393985]"
param,"{'hidden': [52, 24], 'activation': 'tanh', 'learning_rate': 0.21021661690615456, 'momentum': 0.4446454434393985}"
importance,[]
RMSE train,1.3617788953645027
MAPE train,32.43873085630053
RMSE test,1.293758551461164
MAPE test,31.40442767721805
prediksi train true,"[[46.2294]
 [42.8033]
 [42.8084]
 [39.6311]
 [41.0769]
 [34.3432]
 [37.1132]
 [34.9944]
 [33.4505]
 [33.0944]
 [35.5904]
 [32.0556]
 [31.6325]
 [30.3806]
 [29.7904]
 [25.4922]
 [23.6972]
 [22.0666]
 [23.6845]]"
prediksi test true,"[[47.5719]
 [45.504 ]
 [49.5569]
 [49.7797]
 [47.5048]]"
RMSE train true,19.19669855963273
MAPE train true,35.531151657333695
RMSE test true,5.148386844484486
MAPE test true,8.273580851324116
