,gen,cost,time,param
0,"[42.754799687300014, 23.96630462358684, -5.708742934562819, -6.531990579459654, 3.8316985596905986, 0.9855416167543135, 0.6165245182510022]",1.0914800481628764e-13,0.17199182510375977,"{'hidden': [43, 24], 'activation': 'relu', 'learning_rate': 0.9855416167543135, 'momentum': 0.6165245182510022}"
1,"[42.754799687300014, 23.96630462358684, -5.708742934562819, -6.531990579459654, 3.8316985596905986, 0.9855416167543135, 0.6165245182510022]",1.0914800481628764e-13,0.5190207958221436,"{'hidden': [43, 24], 'activation': 'relu', 'learning_rate': 0.9855416167543135, 'momentum': 0.6165245182510022}"
2,"[40.534260920478154, 42.30274658548241, -5.859895291660892, -8.273301813290123, 3.974700797273729, 0.6291868547748578, 0.9762822953105893]",3.35930588676554e-14,0.8832547664642334,"{'hidden': [41, 42], 'activation': 'relu', 'learning_rate': 0.6291868547748578, 'momentum': 0.9762822953105893}"
3,"[40.534260920478154, 42.30274658548241, -5.859895291660892, -8.273301813290123, 3.974700797273729, 0.6291868547748578, 0.9762822953105893]",3.35930588676554e-14,1.2652766704559326,"{'hidden': [41, 42], 'activation': 'relu', 'learning_rate': 0.6291868547748578, 'momentum': 0.9762822953105893}"
4,"[40.534260920478154, 42.30274658548241, -5.859895291660892, -8.273301813290123, 3.974700797273729, 0.6291868547748578, 0.9762822953105893]",3.35930588676554e-14,1.5464797019958496,"{'hidden': [41, 42], 'activation': 'relu', 'learning_rate': 0.6291868547748578, 'momentum': 0.9762822953105893}"
5,"[40.534260920478154, 42.30274658548241, -5.859895291660892, -8.273301813290123, 3.974700797273729, 0.6291868547748578, 0.9762822953105893]",3.35930588676554e-14,1.7858412265777588,"{'hidden': [41, 42], 'activation': 'relu', 'learning_rate': 0.6291868547748578, 'momentum': 0.9762822953105893}"
6,"[40.534260920478154, 42.30274658548241, -5.859895291660892, -8.273301813290123, 3.974700797273729, 0.6291868547748578, 0.9762822953105893]",3.35930588676554e-14,2.3423540592193604,"{'hidden': [41, 42], 'activation': 'relu', 'learning_rate': 0.6291868547748578, 'momentum': 0.9762822953105893}"
7,"[40.534260920478154, 42.30274658548241, -5.859895291660892, -8.273301813290123, 3.974700797273729, 0.6291868547748578, 0.9762822953105893]",3.35930588676554e-14,2.850994110107422,"{'hidden': [41, 42], 'activation': 'relu', 'learning_rate': 0.6291868547748578, 'momentum': 0.9762822953105893}"
8,"[40.534260920478154, 42.30274658548241, -5.859895291660892, -8.273301813290123, 3.974700797273729, 0.6291868547748578, 0.9762822953105893]",3.35930588676554e-14,3.6289117336273193,"{'hidden': [41, 42], 'activation': 'relu', 'learning_rate': 0.6291868547748578, 'momentum': 0.9762822953105893}"
9,"[93.62570009464322, 16.550186361777854, 22.416317215871853, 63.78587612538878, 3.8257362393552468, 0.6882348703734478, 0.3879636637168612]",8.241457763483248e-16,4.20940375328064,"{'hidden': [94, 17, 22, 64], 'activation': 'relu', 'learning_rate': 0.6882348703734478, 'momentum': 0.3879636637168612}"
