,gen,cost,time,param
0,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,0.3196558952331543,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
1,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,0.6128718852996826,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
2,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,0.8457648754119873,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
3,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,1.1336069107055664,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
4,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,1.3967571258544922,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
5,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,1.690342664718628,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
6,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,2.06335711479187,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
7,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,2.490163803100586,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
8,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,2.9913084506988525,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
9,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,3.404680013656616,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
10,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,3.866990327835083,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
11,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,4.224035978317261,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
12,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,4.6449127197265625,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
13,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,5.0537779331207275,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
14,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,5.513785362243652,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
15,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,5.961660861968994,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
16,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,6.6041741371154785,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
17,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,7.088874578475952,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
18,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,7.538681983947754,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
19,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,8.011868476867676,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
20,"[80.86741191693281, 65.9605134833331, 75.23910124743472, -5.002277253989277, 4.752436503845623, 0.9422573571034324, 0.8046921232463108]",3.0814879110195775e-34,8.537479162216187,"{'hidden': [81, 66, 75], 'activation': 'leaky_relu', 'learning_rate': 0.9422573571034324, 'momentum': 0.8046921232463108}"
