,gen,cost,time,param
0,"[90.9778055272895, 28.12099741143847, -8.96887658391375, -9.223580840173375, 3.8591421743654224, 0.6846742351122184, 0.05718640783575468]",0.0002750930452136981,0.2354140281677246,"{'hidden': [91, 28], 'activation': 'relu', 'learning_rate': 0.6846742351122184, 'momentum': 0.05718640783575468}"
1,"[90.9778055272895, 28.12099741143847, -8.96887658391375, -9.223580840173375, 3.8591421743654224, 0.6846742351122184, 0.05718640783575468]",0.0002750930452136981,0.6447849273681641,"{'hidden': [91, 28], 'activation': 'relu', 'learning_rate': 0.6846742351122184, 'momentum': 0.05718640783575468}"
2,"[90.9778055272895, 28.12099741143847, -8.96887658391375, -9.223580840173375, 3.8591421743654224, 0.6846742351122184, 0.05718640783575468]",0.0002750930452136981,1.0879185199737549,"{'hidden': [91, 28], 'activation': 'relu', 'learning_rate': 0.6846742351122184, 'momentum': 0.05718640783575468}"
3,"[90.9778055272895, 28.12099741143847, -8.96887658391375, -9.223580840173375, 3.8591421743654224, 0.6846742351122184, 0.05718640783575468]",0.0002750930452136981,1.4149043560028076,"{'hidden': [91, 28], 'activation': 'relu', 'learning_rate': 0.6846742351122184, 'momentum': 0.05718640783575468}"
4,"[90.9778055272895, 28.12099741143847, -8.96887658391375, -9.223580840173375, 3.8591421743654224, 0.6846742351122184, 0.05718640783575468]",0.0002750930452136981,1.8987314701080322,"{'hidden': [91, 28], 'activation': 'relu', 'learning_rate': 0.6846742351122184, 'momentum': 0.05718640783575468}"
5,"[90.9778055272895, 28.12099741143847, -8.96887658391375, -9.223580840173375, 3.8591421743654224, 0.6846742351122184, 0.05718640783575468]",0.0002750930452136981,2.340797185897827,"{'hidden': [91, 28], 'activation': 'relu', 'learning_rate': 0.6846742351122184, 'momentum': 0.05718640783575468}"
6,"[90.9778055272895, 28.12099741143847, -8.96887658391375, -9.223580840173375, 3.8591421743654224, 0.6846742351122184, 0.05718640783575468]",0.0002750930452136981,2.6801536083221436,"{'hidden': [91, 28], 'activation': 'relu', 'learning_rate': 0.6846742351122184, 'momentum': 0.05718640783575468}"
7,"[90.9778055272895, 28.12099741143847, -8.96887658391375, -9.223580840173375, 3.8591421743654224, 0.6846742351122184, 0.05718640783575468]",0.0002750930452136981,3.078295946121216,"{'hidden': [91, 28], 'activation': 'relu', 'learning_rate': 0.6846742351122184, 'momentum': 0.05718640783575468}"
8,"[90.9778055272895, 28.12099741143847, -8.96887658391375, -9.223580840173375, 3.8591421743654224, 0.6846742351122184, 0.05718640783575468]",0.0002750930452136981,3.404522180557251,"{'hidden': [91, 28], 'activation': 'relu', 'learning_rate': 0.6846742351122184, 'momentum': 0.05718640783575468}"
9,"[64.74275412732015, 29.338933358466633, 71.1752757055645, -5.803104697652641, 4.737000439392359, 0.6143098386134108, 0.5495291765559367]",7.457200744667377e-32,3.8474643230438232,"{'hidden': [65, 29, 71], 'activation': 'leaky_relu', 'learning_rate': 0.6143098386134108, 'momentum': 0.5495291765559367}"
10,"[64.74275412732015, 29.338933358466633, 71.1752757055645, -5.803104697652641, 4.737000439392359, 0.6143098386134108, 0.5495291765559367]",7.457200744667377e-32,4.215475559234619,"{'hidden': [65, 29, 71], 'activation': 'leaky_relu', 'learning_rate': 0.6143098386134108, 'momentum': 0.5495291765559367}"
11,"[64.74275412732015, 29.338933358466633, 71.1752757055645, -5.803104697652641, 4.737000439392359, 0.6143098386134108, 0.5495291765559367]",7.457200744667377e-32,4.650313377380371,"{'hidden': [65, 29, 71], 'activation': 'leaky_relu', 'learning_rate': 0.6143098386134108, 'momentum': 0.5495291765559367}"
12,"[64.74275412732015, 29.338933358466633, 71.1752757055645, -5.803104697652641, 4.737000439392359, 0.6143098386134108, 0.5495291765559367]",7.457200744667377e-32,5.137571811676025,"{'hidden': [65, 29, 71], 'activation': 'leaky_relu', 'learning_rate': 0.6143098386134108, 'momentum': 0.5495291765559367}"
13,"[64.74275412732015, 29.338933358466633, 71.1752757055645, -5.803104697652641, 4.737000439392359, 0.6143098386134108, 0.5495291765559367]",7.457200744667377e-32,5.538965940475464,"{'hidden': [65, 29, 71], 'activation': 'leaky_relu', 'learning_rate': 0.6143098386134108, 'momentum': 0.5495291765559367}"
14,"[64.74275412732015, 29.338933358466633, 71.1752757055645, -5.803104697652641, 4.737000439392359, 0.6143098386134108, 0.5495291765559367]",7.457200744667377e-32,5.924954652786255,"{'hidden': [65, 29, 71], 'activation': 'leaky_relu', 'learning_rate': 0.6143098386134108, 'momentum': 0.5495291765559367}"
15,"[64.74275412732015, 29.338933358466633, 71.1752757055645, -5.803104697652641, 4.737000439392359, 0.6143098386134108, 0.5495291765559367]",7.457200744667377e-32,6.250084161758423,"{'hidden': [65, 29, 71], 'activation': 'leaky_relu', 'learning_rate': 0.6143098386134108, 'momentum': 0.5495291765559367}"
16,"[64.74275412732015, 29.338933358466633, 71.1752757055645, -5.803104697652641, 4.737000439392359, 0.6143098386134108, 0.5495291765559367]",7.457200744667377e-32,6.589114427566528,"{'hidden': [65, 29, 71], 'activation': 'leaky_relu', 'learning_rate': 0.6143098386134108, 'momentum': 0.5495291765559367}"
17,"[64.74275412732015, 29.338933358466633, 71.1752757055645, -5.803104697652641, 4.737000439392359, 0.6143098386134108, 0.5495291765559367]",7.457200744667377e-32,7.160788059234619,"{'hidden': [65, 29, 71], 'activation': 'leaky_relu', 'learning_rate': 0.6143098386134108, 'momentum': 0.5495291765559367}"
18,"[64.74275412732015, 29.338933358466633, 71.1752757055645, -5.803104697652641, 4.737000439392359, 0.6143098386134108, 0.5495291765559367]",7.457200744667377e-32,7.679427862167358,"{'hidden': [65, 29, 71], 'activation': 'leaky_relu', 'learning_rate': 0.6143098386134108, 'momentum': 0.5495291765559367}"
