,gen,cost,time,param
0,"[1.10490286748152, 97.12720400940837, -6.774470896754384, -8.24353627374625, 3.1947890715936755, 0.3530362659977443, 0.5991634424544464]",0.019011952028925718,0.1866166591644287,"{'hidden': [1, 97], 'activation': 'relu', 'learning_rate': 0.3530362659977443, 'momentum': 0.5991634424544464}"
1,"[67.77437226798895, -5.992202928746718, -6.420234858413103, -9.485833579287602, 1.6772688262259625, 0.5736757930855724, 0.8080013251352249]",0.0009924955603795769,0.338545560836792,"{'hidden': [68], 'activation': 'tanh', 'learning_rate': 0.5736757930855724, 'momentum': 0.8080013251352249}"
2,"[67.77437226798895, -5.992202928746718, -6.420234858413103, -9.485833579287602, 1.6772688262259625, 0.5736757930855724, 0.8080013251352249]",0.0009924955603795769,0.4881012439727783,"{'hidden': [68], 'activation': 'tanh', 'learning_rate': 0.5736757930855724, 'momentum': 0.8080013251352249}"
3,"[13.944240172845921, 64.06358928442495, 58.62875262956942, 34.99279971053487, 3.491815593309439, 0.2785223666692901, 0.48486000766709925]",2.7699919878800545e-06,0.7206211090087891,"{'hidden': [14, 64, 59, 35], 'activation': 'relu', 'learning_rate': 0.2785223666692901, 'momentum': 0.48486000766709925}"
4,"[13.944240172845921, 64.06358928442495, 58.62875262956942, 34.99279971053487, 3.491815593309439, 0.2785223666692901, 0.48486000766709925]",2.7699919878800545e-06,0.9391915798187256,"{'hidden': [14, 64, 59, 35], 'activation': 'relu', 'learning_rate': 0.2785223666692901, 'momentum': 0.48486000766709925}"
5,"[13.944240172845921, 64.06358928442495, 58.62875262956942, 34.99279971053487, 3.491815593309439, 0.2785223666692901, 0.48486000766709925]",2.7699919878800545e-06,1.1964998245239258,"{'hidden': [14, 64, 59, 35], 'activation': 'relu', 'learning_rate': 0.2785223666692901, 'momentum': 0.48486000766709925}"
6,"[13.944240172845921, 64.06358928442495, 58.62875262956942, 34.99279971053487, 3.491815593309439, 0.2785223666692901, 0.48486000766709925]",2.7699919878800545e-06,1.4708290100097656,"{'hidden': [14, 64, 59, 35], 'activation': 'relu', 'learning_rate': 0.2785223666692901, 'momentum': 0.48486000766709925}"
7,"[13.944240172845921, 64.06358928442495, 58.62875262956942, 34.99279971053487, 3.491815593309439, 0.2785223666692901, 0.48486000766709925]",2.7699919878800545e-06,1.7484993934631348,"{'hidden': [14, 64, 59, 35], 'activation': 'relu', 'learning_rate': 0.2785223666692901, 'momentum': 0.48486000766709925}"
8,"[13.944240172845921, 64.06358928442495, 58.62875262956942, 34.99279971053487, 3.491815593309439, 0.2785223666692901, 0.48486000766709925]",2.7699919878800545e-06,2.046407699584961,"{'hidden': [14, 64, 59, 35], 'activation': 'relu', 'learning_rate': 0.2785223666692901, 'momentum': 0.48486000766709925}"
9,"[13.944240172845921, 64.06358928442495, 58.62875262956942, 34.99279971053487, 3.491815593309439, 0.2785223666692901, 0.48486000766709925]",2.7699919878800545e-06,2.4257519245147705,"{'hidden': [14, 64, 59, 35], 'activation': 'relu', 'learning_rate': 0.2785223666692901, 'momentum': 0.48486000766709925}"
10,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,2.868659496307373,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
11,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,3.4111714363098145,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
12,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,3.8449811935424805,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
13,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,4.3438544273376465,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
14,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,4.704838514328003,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
15,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,5.01714563369751,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
16,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,5.41733193397522,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
17,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,5.786346912384033,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
18,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,6.230268716812134,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
19,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,6.581730365753174,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
20,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,6.9575514793396,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
21,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,7.370030164718628,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
22,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,7.848491191864014,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
23,"[95.90695590765895, 6.943906567102927, 33.13936458106451, 98.09384878670946, 3.4090047514696473, 0.5056432812923557, 0.9695072995362677]",7.592941156779195e-16,8.183592081069946,"{'hidden': [96, 7, 33, 98], 'activation': 'relu', 'learning_rate': 0.5056432812923557, 'momentum': 0.9695072995362677}"
24,"[63.67877254244141, 33.59491290097721, 14.049356436145137, -5.547439361146369, 3.577471362181302, 0.8053122655892949, 0.5062443313531957]",8.751581049879065e-22,8.56615686416626,"{'hidden': [64, 34, 14], 'activation': 'relu', 'learning_rate': 0.8053122655892949, 'momentum': 0.5062443313531957}"
25,"[63.67877254244141, 33.59491290097721, 14.049356436145137, -5.547439361146369, 3.577471362181302, 0.8053122655892949, 0.5062443313531957]",8.751581049879065e-22,8.939672470092773,"{'hidden': [64, 34, 14], 'activation': 'relu', 'learning_rate': 0.8053122655892949, 'momentum': 0.5062443313531957}"
26,"[63.67877254244141, 33.59491290097721, 14.049356436145137, -5.547439361146369, 3.577471362181302, 0.8053122655892949, 0.5062443313531957]",8.751581049879065e-22,9.284790277481079,"{'hidden': [64, 34, 14], 'activation': 'relu', 'learning_rate': 0.8053122655892949, 'momentum': 0.5062443313531957}"
27,"[63.67877254244141, 33.59491290097721, 14.049356436145137, -5.547439361146369, 3.577471362181302, 0.8053122655892949, 0.5062443313531957]",8.751581049879065e-22,9.531189680099487,"{'hidden': [64, 34, 14], 'activation': 'relu', 'learning_rate': 0.8053122655892949, 'momentum': 0.5062443313531957}"
