,gen,cost,time,param
0,"[97.49796231379872, 66.13225257547825, 74.03840146841864, 33.957813543387786, 1.105659548310985, 0.681089521282247, 0.48337669280147055]",0.006328503990306533,0.5744650363922119,"{'hidden': [97, 66, 74, 34], 'activation': 'tanh', 'learning_rate': 0.681089521282247, 'momentum': 0.48337669280147055}"
1,"[82.23364604434047, 54.554172108806675, 3.2961464762927264, -7.491209378727386, 3.6397979077249074, 0.5169162377232823, 0.6203927853430353]",6.194606257200086e-08,1.5917472839355469,"{'hidden': [82, 55, 3], 'activation': 'relu', 'learning_rate': 0.5169162377232823, 'momentum': 0.6203927853430353}"
2,"[82.23364604434047, 54.554172108806675, 3.2961464762927264, -7.491209378727386, 3.6397979077249074, 0.5169162377232823, 0.6203927853430353]",6.194606257200086e-08,2.09839129447937,"{'hidden': [82, 55, 3], 'activation': 'relu', 'learning_rate': 0.5169162377232823, 'momentum': 0.6203927853430353}"
3,"[82.23364604434047, 54.554172108806675, 3.2961464762927264, -7.491209378727386, 3.6397979077249074, 0.5169162377232823, 0.6203927853430353]",6.194606257200086e-08,2.674851417541504,"{'hidden': [82, 55, 3], 'activation': 'relu', 'learning_rate': 0.5169162377232823, 'momentum': 0.6203927853430353}"
4,"[82.23364604434047, 54.554172108806675, 3.2961464762927264, -7.491209378727386, 3.6397979077249074, 0.5169162377232823, 0.6203927853430353]",6.194606257200086e-08,3.262279987335205,"{'hidden': [82, 55, 3], 'activation': 'relu', 'learning_rate': 0.5169162377232823, 'momentum': 0.6203927853430353}"
5,"[82.23364604434047, 54.554172108806675, 3.2961464762927264, -7.491209378727386, 3.6397979077249074, 0.5169162377232823, 0.6203927853430353]",6.194606257200086e-08,3.802834987640381,"{'hidden': [82, 55, 3], 'activation': 'relu', 'learning_rate': 0.5169162377232823, 'momentum': 0.6203927853430353}"
6,"[82.23364604434047, 54.554172108806675, 3.2961464762927264, -7.491209378727386, 3.6397979077249074, 0.5169162377232823, 0.6203927853430353]",6.194606257200086e-08,4.401231288909912,"{'hidden': [82, 55, 3], 'activation': 'relu', 'learning_rate': 0.5169162377232823, 'momentum': 0.6203927853430353}"
7,"[82.23364604434047, 54.554172108806675, 3.2961464762927264, -7.491209378727386, 3.6397979077249074, 0.5169162377232823, 0.6203927853430353]",6.194606257200086e-08,4.92583155632019,"{'hidden': [82, 55, 3], 'activation': 'relu', 'learning_rate': 0.5169162377232823, 'momentum': 0.6203927853430353}"
8,"[82.23364604434047, 54.554172108806675, 3.2961464762927264, -7.491209378727386, 3.6397979077249074, 0.5169162377232823, 0.6203927853430353]",6.194606257200086e-08,5.3177783489227295,"{'hidden': [82, 55, 3], 'activation': 'relu', 'learning_rate': 0.5169162377232823, 'momentum': 0.6203927853430353}"
9,"[82.23364604434047, 54.554172108806675, 3.2961464762927264, -7.491209378727386, 3.6397979077249074, 0.5169162377232823, 0.6203927853430353]",6.194606257200086e-08,5.787526845932007,"{'hidden': [82, 55, 3], 'activation': 'relu', 'learning_rate': 0.5169162377232823, 'momentum': 0.6203927853430353}"
10,"[82.23364604434047, 54.554172108806675, 3.2961464762927264, -7.491209378727386, 3.6397979077249074, 0.5169162377232823, 0.6203927853430353]",6.194606257200086e-08,6.270231246948242,"{'hidden': [82, 55, 3], 'activation': 'relu', 'learning_rate': 0.5169162377232823, 'momentum': 0.6203927853430353}"
