,gen,cost,time,param
0,"[10.006307458876885, 34.5628108024911, 5.206785538735106, -8.374443309277126, 1.7447951502696963, 0.8936547236746455, 0.21196541708200356]",0.0008643954757308664,0.2134723663330078,"{'hidden': [10, 35, 5], 'activation': 'tanh', 'learning_rate': 0.8936547236746455, 'momentum': 0.21196541708200356}"
1,"[10.006307458876885, 34.5628108024911, 5.206785538735106, -8.374443309277126, 1.7447951502696963, 0.8936547236746455, 0.21196541708200356]",0.0008643954757308664,0.4119405746459961,"{'hidden': [10, 35, 5], 'activation': 'tanh', 'learning_rate': 0.8936547236746455, 'momentum': 0.21196541708200356}"
2,"[10.006307458876885, 34.5628108024911, 5.206785538735106, -8.374443309277126, 1.7447951502696963, 0.8936547236746455, 0.21196541708200356]",0.0008643954757308664,0.5785000324249268,"{'hidden': [10, 35, 5], 'activation': 'tanh', 'learning_rate': 0.8936547236746455, 'momentum': 0.21196541708200356}"
3,"[10.006307458876885, 34.5628108024911, 5.206785538735106, -8.374443309277126, 1.7447951502696963, 0.8936547236746455, 0.21196541708200356]",0.0008643954757308664,0.8854851722717285,"{'hidden': [10, 35, 5], 'activation': 'tanh', 'learning_rate': 0.8936547236746455, 'momentum': 0.21196541708200356}"
4,"[48.39752160212108, -5.052949195851504, -5.520634352128592, -9.933310542028103, 4.299151875415834, 0.7820127083306265, 0.6598410789770968]",2.7784031629047123e-06,1.111877679824829,"{'hidden': [48], 'activation': 'leaky_relu', 'learning_rate': 0.7820127083306265, 'momentum': 0.6598410789770968}"
5,"[48.39752160212108, -5.052949195851504, -5.520634352128592, -9.933310542028103, 4.299151875415834, 0.7820127083306265, 0.6598410789770968]",2.7784031629047123e-06,1.2784335613250732,"{'hidden': [48], 'activation': 'leaky_relu', 'learning_rate': 0.7820127083306265, 'momentum': 0.6598410789770968}"
6,"[48.39752160212108, -5.052949195851504, -5.520634352128592, -9.933310542028103, 4.299151875415834, 0.7820127083306265, 0.6598410789770968]",2.7784031629047123e-06,1.677367925643921,"{'hidden': [48], 'activation': 'leaky_relu', 'learning_rate': 0.7820127083306265, 'momentum': 0.6598410789770968}"
7,"[48.39752160212108, -5.052949195851504, -5.520634352128592, -9.933310542028103, 4.299151875415834, 0.7820127083306265, 0.6598410789770968]",2.7784031629047123e-06,2.0424447059631348,"{'hidden': [48], 'activation': 'leaky_relu', 'learning_rate': 0.7820127083306265, 'momentum': 0.6598410789770968}"
8,"[48.39752160212108, -5.052949195851504, -5.520634352128592, -9.933310542028103, 4.299151875415834, 0.7820127083306265, 0.6598410789770968]",2.7784031629047123e-06,2.489198684692383,"{'hidden': [48], 'activation': 'leaky_relu', 'learning_rate': 0.7820127083306265, 'momentum': 0.6598410789770968}"
9,"[48.39752160212108, -5.052949195851504, -5.520634352128592, -9.933310542028103, 4.299151875415834, 0.7820127083306265, 0.6598410789770968]",2.7784031629047123e-06,2.7265965938568115,"{'hidden': [48], 'activation': 'leaky_relu', 'learning_rate': 0.7820127083306265, 'momentum': 0.6598410789770968}"
