,gen,cost,time,param
0,"[94.24139534586443, 67.52848707018292, -5.414884988521834, -7.80818027189784, 3.878905148053544, 0.43030075484089325, 0.5956055324871292]",2.656165330844865e-16,0.3490331172943115,"{'hidden': [94, 68], 'activation': 'relu', 'learning_rate': 0.43030075484089325, 'momentum': 0.5956055324871292}"
1,"[94.24139534586443, 67.52848707018292, -5.414884988521834, -7.80818027189784, 3.878905148053544, 0.43030075484089325, 0.5956055324871292]",2.656165330844865e-16,0.7938458919525146,"{'hidden': [94, 68], 'activation': 'relu', 'learning_rate': 0.43030075484089325, 'momentum': 0.5956055324871292}"
2,"[94.24139534586443, 67.52848707018292, -5.414884988521834, -7.80818027189784, 3.878905148053544, 0.43030075484089325, 0.5956055324871292]",2.656165330844865e-16,1.1898410320281982,"{'hidden': [94, 68], 'activation': 'relu', 'learning_rate': 0.43030075484089325, 'momentum': 0.5956055324871292}"
3,"[94.24139534586443, 67.52848707018292, -5.414884988521834, -7.80818027189784, 3.878905148053544, 0.43030075484089325, 0.5956055324871292]",2.656165330844865e-16,1.7184240818023682,"{'hidden': [94, 68], 'activation': 'relu', 'learning_rate': 0.43030075484089325, 'momentum': 0.5956055324871292}"
4,"[94.24139534586443, 67.52848707018292, -5.414884988521834, -7.80818027189784, 3.878905148053544, 0.43030075484089325, 0.5956055324871292]",2.656165330844865e-16,2.136293888092041,"{'hidden': [94, 68], 'activation': 'relu', 'learning_rate': 0.43030075484089325, 'momentum': 0.5956055324871292}"
5,"[94.24139534586443, 67.52848707018292, -5.414884988521834, -7.80818027189784, 3.878905148053544, 0.43030075484089325, 0.5956055324871292]",2.656165330844865e-16,2.414511203765869,"{'hidden': [94, 68], 'activation': 'relu', 'learning_rate': 0.43030075484089325, 'momentum': 0.5956055324871292}"
6,"[94.24139534586443, 67.52848707018292, -5.414884988521834, -7.80818027189784, 3.878905148053544, 0.43030075484089325, 0.5956055324871292]",2.656165330844865e-16,2.8065028190612793,"{'hidden': [94, 68], 'activation': 'relu', 'learning_rate': 0.43030075484089325, 'momentum': 0.5956055324871292}"
7,"[94.24139534586443, 67.52848707018292, -5.414884988521834, -7.80818027189784, 3.878905148053544, 0.43030075484089325, 0.5956055324871292]",2.656165330844865e-16,3.127609968185425,"{'hidden': [94, 68], 'activation': 'relu', 'learning_rate': 0.43030075484089325, 'momentum': 0.5956055324871292}"
8,"[94.24139534586443, 67.52848707018292, -5.414884988521834, -7.80818027189784, 3.878905148053544, 0.43030075484089325, 0.5956055324871292]",2.656165330844865e-16,3.7878401279449463,"{'hidden': [94, 68], 'activation': 'relu', 'learning_rate': 0.43030075484089325, 'momentum': 0.5956055324871292}"
9,"[94.24139534586443, 67.52848707018292, -5.414884988521834, -7.80818027189784, 3.878905148053544, 0.43030075484089325, 0.5956055324871292]",2.656165330844865e-16,4.261577367782593,"{'hidden': [94, 68], 'activation': 'relu', 'learning_rate': 0.43030075484089325, 'momentum': 0.5956055324871292}"
10,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,4.941752672195435,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
11,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,5.413493394851685,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
12,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,5.901187419891357,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
13,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,6.42778468132019,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
14,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,7.055147171020508,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
15,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,7.597650051116943,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
16,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,7.985612630844116,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
17,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,8.378602981567383,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
18,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,8.734649896621704,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
19,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,9.12161636352539,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
20,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,9.429785966873169,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
21,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,9.816755533218384,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
22,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,10.17076826095581,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
23,"[65.9748208177497, 29.949429793823285, 20.27311909642365, -8.565565055493721, 3.4153787045682256, 0.880938191250422, 0.9701253348284027]",1.3019286424057713e-32,10.477990865707397,"{'hidden': [66, 30, 20], 'activation': 'relu', 'learning_rate': 0.880938191250422, 'momentum': 0.9701253348284027}"
