,gen,cost,time,param
0,"[58.014634344739186, 85.65814484386397, -8.838757591820528, -7.2062445744324926, 1.101007638100609, 0.695806662856223, 0.054098164951351335]",0.05265568779041853,0.2547032833099365,"{'hidden': [58, 86], 'activation': 'tanh', 'learning_rate': 0.695806662856223, 'momentum': 0.054098164951351335}"
1,"[58.014634344739186, 85.65814484386397, -8.838757591820528, -7.2062445744324926, 1.101007638100609, 0.695806662856223, 0.054098164951351335]",0.05265568779041853,0.48865556716918945,"{'hidden': [58, 86], 'activation': 'tanh', 'learning_rate': 0.695806662856223, 'momentum': 0.054098164951351335}"
2,"[9.387353252634469, 64.93295954516387, -5.271257704306574, -9.439925488557046, 1.759396128213864, 0.6721680551860955, 0.5024618724134603]",0.01984558178551996,0.6961560249328613,"{'hidden': [9, 65], 'activation': 'tanh', 'learning_rate': 0.6721680551860955, 'momentum': 0.5024618724134603}"
3,"[9.387353252634469, 64.93295954516387, -5.271257704306574, -9.439925488557046, 1.759396128213864, 0.6721680551860955, 0.5024618724134603]",0.01984558178551996,0.906613826751709,"{'hidden': [9, 65], 'activation': 'tanh', 'learning_rate': 0.6721680551860955, 'momentum': 0.5024618724134603}"
4,"[9.387353252634469, 64.93295954516387, -5.271257704306574, -9.439925488557046, 1.759396128213864, 0.6721680551860955, 0.5024618724134603]",0.01984558178551996,1.0846960544586182,"{'hidden': [9, 65], 'activation': 'tanh', 'learning_rate': 0.6721680551860955, 'momentum': 0.5024618724134603}"
5,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,1.3361527919769287,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
6,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,1.5776896476745605,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
7,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,1.890981912612915,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
8,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,2.2080235481262207,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
9,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,2.5686349868774414,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
10,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,2.806478977203369,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
11,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,3.155244827270508,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
12,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,3.409243106842041,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
13,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,3.62723708152771,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
14,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,3.9317142963409424,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
15,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,4.198623895645142,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
16,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,4.4516377449035645,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
17,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,4.716475963592529,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
18,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,4.9974586963653564,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
19,"[92.25129355796446, 39.61389676482978, -8.248609648313055, -6.2517254935505955, 4.425268636949843, 0.5715779176301671, 0.8874101191619953]",3.255074525784118e-17,5.234726190567017,"{'hidden': [92, 40], 'activation': 'leaky_relu', 'learning_rate': 0.5715779176301671, 'momentum': 0.8874101191619953}"
