,0
var,"['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT'
 'numDraughtDiff_neg_CT' 'ImporNilai']"
gen,"[43.663621391092846, 36.96834633075104, 96.80706712148488, -6.807823993131965, 4.721100315908272, 0.9956883079450136, 0.4587783895956816]"
param,"{'hidden': [44, 37, 97], 'activation': 'leaky_relu', 'learning_rate': 0.9956883079450136, 'momentum': 0.4587783895956816}"
importance,"[['numVessel_CT' 0.21836400000000006]
 ['timeInPort_CT' 0.19964999999999997]
 ['sumDraughtDiff_neg_CT' 0.08256199999999998]]"
RMSE train,0.005524573206023552
MAPE train,1.7622140963087087
RMSE test,1.0299290653946116
MAPE test,194.91312324111533
prediksi train true,"[[10.223 ]
 [ 8.5021]
 [ 9.37  ]
 [10.5043]
 [ 9.9693]
 [ 7.853 ]
 [10.6097]
 [ 9.694 ]
 [ 9.7692]
 [10.1274]
 [10.5338]
 [ 9.9672]
 [ 9.8085]
 [ 7.9498]
 [ 9.1968]
 [ 8.6425]
 [ 5.8241]
 [ 7.4316]
 [ 7.2314]]"
prediksi test true,"[[11.7072]
 [ 9.7824]
 [10.409 ]
 [10.9352]
 [10.3936]]"
RMSE train true,4.227599069089677
MAPE train true,31.41377650139724
RMSE test true,2.1734415717004594
MAPE test true,13.919120394419728
