,0
var,"['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT'
 'numDraughtDiff_neg_CT' 'bi_rate' 'ImporNilai']"
gen,"[83.47487266527173, -9.27481234203435, -5.770424509128927, -8.471734645054564, 3.273427233656764, 0.8705794140763468, 0.8473136009598536]"
param,"{'hidden': [83], 'activation': 'relu', 'learning_rate': 0.8705794140763468, 'momentum': 0.8473136009598536}"
importance,"[['numVessel_CT' 0.05881799999999998]
 ['sumDraughtDiff_neg_CT' 0.06346199999999999]
 ['bi_rate' 0.07949999999999999]]"
RMSE train,0.3485495019898362
MAPE train,124.55668128860282
RMSE test,1.1593965059591007
MAPE test,192.78067459333982
prediksi train true,"[[9.8222]
 [7.5458]
 [7.8192]
 [8.2544]
 [7.4512]
 [5.4237]
 [6.9704]
 [6.2308]
 [5.886 ]
 [5.8678]
 [5.7398]
 [5.0242]
 [4.6855]
 [3.6669]
 [3.9917]
 [3.3958]
 [2.3297]
 [2.8332]
 [2.6433]]"
prediksi test true,"[[11.4521]
 [ 9.9766]
 [11.2176]
 [13.1676]
 [11.1129]]"
RMSE train true,7.877870592168906
MAPE train true,59.08370220206768
RMSE test true,1.7053429379459784
MAPE test true,10.277033120456958
