,0
var,['numVisit_CT' 'numVessel_CT' 'numDraughtDiff_neg_CT' 'ImporNilai']
gen,"[38.8015925162893, 92.05979506087198, 95.3288955252321, -7.013118102391348, 4.536183184040775, 0.8068081783600457, 0.9174202579983525]"
param,"{'hidden': [39, 92, 95], 'activation': 'leaky_relu', 'learning_rate': 0.8068081783600457, 'momentum': 0.9174202579983525}"
importance,[]
RMSE train,0.33435550054679114
MAPE train,82.35307994501362
RMSE test,1.5844358925456903
MAPE test,239.20397613903882
prediksi train true,"[[10.3633]
 [ 8.8526]
 [ 9.8532]
 [11.1957]
 [10.8265]
 [ 8.7413]
 [10.9071]
 [10.1316]
 [10.3732]
 [11.0128]
 [11.5565]
 [11.1123]
 [11.0133]
 [ 9.1643]
 [10.6733]
 [10.1726]
 [ 7.1927]
 [ 9.2731]
 [10.8281]]"
prediksi test true,"[[8.9706]
 [7.7264]
 [7.0311]
 [5.2085]
 [4.695 ]]"
RMSE train true,3.3624293142156527
MAPE train true,23.091562211176484
RMSE test true,6.042138279627044
MAPE test true,42.176593258442026
