,0
var,['numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT' 'ImporNilai']
gen,"[86.12553921081103, 45.03367588487976, 79.55627886097984, 32.69047272231836, 3.0443051318309684, 0.6399505967829104, 0.987934790736367]"
param,"{'hidden': [86, 45, 80, 33], 'activation': 'relu', 'learning_rate': 0.6399505967829104, 'momentum': 0.987934790736367}"
importance,[]
RMSE train,0.06852526290222663
MAPE train,16.42376653280898
RMSE test,1.2386822818824292
MAPE test,254.79738894375635
prediksi train true,"[[10.1731]
 [ 8.2059]
 [ 8.9974]
 [ 9.9843]
 [ 9.4647]
 [ 7.3763]
 [ 9.8843]
 [ 8.9143]
 [ 8.8843]
 [ 9.1394]
 [ 9.4504]
 [ 8.9087]
 [ 8.7073]
 [ 6.8045]
 [ 7.82  ]
 [ 7.2685]
 [ 4.8573]
 [ 6.1514]
 [ 5.9557]]"
prediksi test true,"[[8.3056]
 [6.7514]
 [6.4653]
 [6.2397]
 [6.0788]]"
RMSE train true,5.072366556117733
MAPE train true,38.16553960523868
RMSE test true,5.63889951681984
MAPE test true,42.603884305352594
