,0
var,"['numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT' 'bi_rate'
 'ImporNilai']"
gen,"[74.74616265692488, 89.36695066679464, 82.9058880281653, 58.99399694526698, 4.151280306773368, 0.793979912791114, 0.7759591570778119]"
param,"{'hidden': [75, 89, 83, 59], 'activation': 'leaky_relu', 'learning_rate': 0.793979912791114, 'momentum': 0.7759591570778119}"
importance,"[['numVessel_CT' 0.050392]
 ['sumDraughtDiff_neg_CT' 0.004323999999999999]
 ['bi_rate' 0.20458999999999997]]"
RMSE train,0.11781732030291854
MAPE train,24.943152257033518
RMSE test,1.1275088898483618
MAPE test,222.20580887093092
prediksi train true,"[[10.1886]
 [ 7.9221]
 [ 8.6463]
 [ 9.6517]
 [ 9.0348]
 [ 7.0235]
 [ 9.2781]
 [ 8.3239]
 [ 8.1868]
 [ 8.4023]
 [ 8.6667]
 [ 8.1003]
 [ 7.9243]
 [ 6.2698]
 [ 7.1241]
 [ 6.5965]
 [ 4.3898]
 [ 5.4864]
 [ 5.3287]]"
prediksi test true,"[[8.5659]
 [6.8   ]
 [6.2958]
 [7.2204]
 [6.8236]]"
RMSE train true,5.632188929263004
MAPE train true,42.373036336850674
RMSE test true,5.201459843693368
MAPE test true,39.76917924091406
