,0
var,"['numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT' 'kurs_USD'
 'ImporNilai']"
gen,"[20.8010706536882, 79.75691249333664, 88.07045566285818, 39.485440389701864, 4.668932425517845, 0.6665847441674481, 0.7866020634155914]"
param,"{'hidden': [21, 80, 88, 39], 'activation': 'leaky_relu', 'learning_rate': 0.6665847441674481, 'momentum': 0.7866020634155914}"
importance,"[['timeInPort_CT' 0.09235599999999998]
 ['kurs_USD' 0.088338]]"
RMSE train,0.025631475040105264
MAPE train,6.546977355613056
RMSE test,1.209254739638964
MAPE test,256.27486223223997
prediksi train true,"[[10.1902]
 [ 8.4314]
 [ 9.264 ]
 [10.3584]
 [ 9.8277]
 [ 7.7001]
 [10.3233]
 [ 9.3839]
 [ 9.4106]
 [ 9.6902]
 [10.0367]
 [ 9.4788]
 [ 9.3092]
 [ 7.5039]
 [ 8.6416]
 [ 8.0859]
 [ 5.4264]
 [ 6.8785]
 [ 6.6747]]"
prediksi test true,"[[7.9106]
 [5.9865]
 [5.503 ]
 [6.5379]
 [6.7838]]"
RMSE train true,4.56639527783238
MAPE train true,34.153402293741664
RMSE test true,5.713719500918733
MAPE test true,44.998239206024806
