,0
var,['numVessel_CT' 'ImporNilai']
gen,"[93.98082495393464, 74.75458015308963, -5.617480379096488, -6.823787094005033, 3.5560359314709955, 0.2646479310908534, 0.7573050959665482]"
param,"{'hidden': [94, 75], 'activation': 'relu', 'learning_rate': 0.2646479310908534, 'momentum': 0.7573050959665482}"
importance,[]
RMSE train,0.6838863359328462
MAPE train,110.60606020614436
RMSE test,1.4943139977832145
MAPE test,301.19491951937425
prediksi train true,"[[9.9364]
 [7.6762]
 [7.8477]
 [7.868 ]
 [8.4667]
 [7.5552]
 [8.1239]
 [8.1871]
 [8.2946]
 [8.6163]
 [8.72  ]
 [8.6934]
 [8.7171]
 [6.5319]
 [6.9226]
 [5.9418]
 [4.1019]
 [4.2315]
 [4.4906]]"
prediksi test true,"[[8.0196]
 [6.889 ]
 [7.3844]
 [5.8301]
 [6.3631]]"
RMSE train true,5.950374243207603
MAPE train true,44.691919816023415
RMSE test true,5.528396705824705
MAPE test true,41.4473105176199
