,0
var,['numVisit_CT' 'timeInPort_CT' 'ImporNilai']
gen,"[93.4928793354862, 98.32078509510468, 38.887422830906566, -9.82031642471673, 4.700190232137561, 0.7759706352762857, 0.8019567300812219]"
param,"{'hidden': [93, 98, 39], 'activation': 'leaky_relu', 'learning_rate': 0.7759706352762857, 'momentum': 0.8019567300812219}"
importance,"[['numVisit_CT' 0.066904]
 ['timeInPort_CT' 0.17930000000000004]]"
RMSE train,0.3945650335919262
MAPE train,96.01582687522261
RMSE test,1.2610631918288062
MAPE test,266.0984139905422
prediksi train true,"[[10.9775]
 [10.8451]
 [11.3991]
 [11.2428]
 [10.8475]
 [ 8.8068]
 [12.1842]
 [11.5874]
 [11.1213]
 [11.7117]
 [12.426 ]
 [11.9829]
 [12.1112]
 [11.2223]
 [13.1917]
 [12.5658]
 [ 8.9431]
 [11.6598]
 [11.6666]]"
prediksi test true,"[[13.4701]
 [10.6997]
 [10.1863]
 [11.2756]
 [10.3279]]"
RMSE train true,2.5349779240538597
MAPE train true,15.632898187942493
RMSE test true,2.3401742539789994
MAPE test true,15.581981093125602
