,gen,cost,time,param
0,"[59.9387691857396, 30.980567169337878, 66.7650147663484, -8.423380952503262, 3.2236576581678067, 0.9464886875953155, 0.6926571249455108]",3.0898034298891905e-11,0.4322469234466553,"{'hidden': [60, 31, 67], 'activation': 'relu', 'learning_rate': 0.9464886875953155, 'momentum': 0.6926571249455108}"
1,"[59.9387691857396, 30.980567169337878, 66.7650147663484, -8.423380952503262, 3.2236576581678067, 0.9464886875953155, 0.6926571249455108]",3.0898034298891905e-11,0.9880425930023193,"{'hidden': [60, 31, 67], 'activation': 'relu', 'learning_rate': 0.9464886875953155, 'momentum': 0.6926571249455108}"
2,"[59.9387691857396, 30.980567169337878, 66.7650147663484, -8.423380952503262, 3.2236576581678067, 0.9464886875953155, 0.6926571249455108]",3.0898034298891905e-11,1.6207027435302734,"{'hidden': [60, 31, 67], 'activation': 'relu', 'learning_rate': 0.9464886875953155, 'momentum': 0.6926571249455108}"
3,"[59.9387691857396, 30.980567169337878, 66.7650147663484, -8.423380952503262, 3.2236576581678067, 0.9464886875953155, 0.6926571249455108]",3.0898034298891905e-11,2.466048240661621,"{'hidden': [60, 31, 67], 'activation': 'relu', 'learning_rate': 0.9464886875953155, 'momentum': 0.6926571249455108}"
4,"[59.9387691857396, 30.980567169337878, 66.7650147663484, -8.423380952503262, 3.2236576581678067, 0.9464886875953155, 0.6926571249455108]",3.0898034298891905e-11,3.8469431400299072,"{'hidden': [60, 31, 67], 'activation': 'relu', 'learning_rate': 0.9464886875953155, 'momentum': 0.6926571249455108}"
5,"[59.9387691857396, 30.980567169337878, 66.7650147663484, -8.423380952503262, 3.2236576581678067, 0.9464886875953155, 0.6926571249455108]",3.0898034298891905e-11,4.4877846240997314,"{'hidden': [60, 31, 67], 'activation': 'relu', 'learning_rate': 0.9464886875953155, 'momentum': 0.6926571249455108}"
6,"[59.9387691857396, 30.980567169337878, 66.7650147663484, -8.423380952503262, 3.2236576581678067, 0.9464886875953155, 0.6926571249455108]",3.0898034298891905e-11,5.065086841583252,"{'hidden': [60, 31, 67], 'activation': 'relu', 'learning_rate': 0.9464886875953155, 'momentum': 0.6926571249455108}"
7,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,5.982823133468628,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
8,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,6.834373712539673,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
9,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,7.803502321243286,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
10,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,8.654165744781494,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
11,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,9.843981742858887,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
12,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,10.932345867156982,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
13,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,11.891818761825562,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
14,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,12.722858667373657,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
15,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,13.680001735687256,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
16,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,15.28171443939209,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
17,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,16.093032836914062,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
18,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,17.13926672935486,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
19,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,18.150505781173706,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
20,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,19.372395992279053,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
21,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]",6.569291532195321e-14,20.861160278320312,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
