,gen,cost,time,param
0,"[85.25824338877692, -6.843265382997281, -8.601687566784328, -5.0069465078236455, 2.0454785986919894, 0.2725838656576598, 0.9077366358825615]",0.21586759389367222,0.2559041976928711,"{'hidden': [85], 'activation': 'sigmoid', 'learning_rate': 0.2725838656576598, 'momentum': 0.9077366358825615}"
1,"[85.25824338877692, -6.843265382997281, -8.601687566784328, -5.0069465078236455, 2.0454785986919894, 0.2725838656576598, 0.9077366358825615]",0.21586759389367222,0.47885942459106445,"{'hidden': [85], 'activation': 'sigmoid', 'learning_rate': 0.2725838656576598, 'momentum': 0.9077366358825615}"
2,"[85.25824338877692, -6.843265382997281, -8.601687566784328, -5.0069465078236455, 2.0454785986919894, 0.2725838656576598, 0.9077366358825615]",0.21586759389367222,0.765009880065918,"{'hidden': [85], 'activation': 'sigmoid', 'learning_rate': 0.2725838656576598, 'momentum': 0.9077366358825615}"
3,"[93.75061483482301, 21.37513069642852, -9.826595117645263, -8.245522341113409, 4.896413052886099, 0.8933406636678743, 0.9911906941675299]",7.328670921597053e-17,0.9904017448425293,"{'hidden': [94, 21], 'activation': 'leaky_relu', 'learning_rate': 0.8933406636678743, 'momentum': 0.9911906941675299}"
4,"[93.75061483482301, 21.37513069642852, -9.826595117645263, -8.245522341113409, 4.896413052886099, 0.8933406636678743, 0.9911906941675299]",7.328670921597053e-17,1.3424906730651855,"{'hidden': [94, 21], 'activation': 'leaky_relu', 'learning_rate': 0.8933406636678743, 'momentum': 0.9911906941675299}"
5,"[93.75061483482301, 21.37513069642852, -9.826595117645263, -8.245522341113409, 4.896413052886099, 0.8933406636678743, 0.9911906941675299]",7.328670921597053e-17,1.6418216228485107,"{'hidden': [94, 21], 'activation': 'leaky_relu', 'learning_rate': 0.8933406636678743, 'momentum': 0.9911906941675299}"
6,"[93.75061483482301, 21.37513069642852, -9.826595117645263, -8.245522341113409, 4.896413052886099, 0.8933406636678743, 0.9911906941675299]",7.328670921597053e-17,2.0124521255493164,"{'hidden': [94, 21], 'activation': 'leaky_relu', 'learning_rate': 0.8933406636678743, 'momentum': 0.9911906941675299}"
7,"[93.75061483482301, 21.37513069642852, -9.826595117645263, -8.245522341113409, 4.896413052886099, 0.8933406636678743, 0.9911906941675299]",7.328670921597053e-17,2.4593749046325684,"{'hidden': [94, 21], 'activation': 'leaky_relu', 'learning_rate': 0.8933406636678743, 'momentum': 0.9911906941675299}"
8,"[24.729550729911026, 95.85688580756509, -6.779708270597097, -9.236718050722935, 4.816695311337537, 0.6203001488017506, 0.9448992479571853]",3.819755840307752e-30,2.772423028945923,"{'hidden': [25, 96], 'activation': 'leaky_relu', 'learning_rate': 0.6203001488017506, 'momentum': 0.9448992479571853}"
9,"[24.729550729911026, 95.85688580756509, -6.779708270597097, -9.236718050722935, 4.816695311337537, 0.6203001488017506, 0.9448992479571853]",3.819755840307752e-30,3.196289539337158,"{'hidden': [25, 96], 'activation': 'leaky_relu', 'learning_rate': 0.6203001488017506, 'momentum': 0.9448992479571853}"
