,gen,cost,time,param
0,"[30.57265017328802, 99.17736837189958, -5.5720040462950475, -9.944890219270032, 1.5005257968440873, 0.9971208901677802, 0.670170905176332]",0.001195482038974166,0.2145676612854004,"{'hidden': [31, 99], 'activation': 'tanh', 'learning_rate': 0.9971208901677802, 'momentum': 0.670170905176332}"
1,"[30.57265017328802, 99.17736837189958, -5.5720040462950475, -9.944890219270032, 1.5005257968440873, 0.9971208901677802, 0.670170905176332]",0.001195482038974166,0.3951423168182373,"{'hidden': [31, 99], 'activation': 'tanh', 'learning_rate': 0.9971208901677802, 'momentum': 0.670170905176332}"
2,"[30.57265017328802, 99.17736837189958, -5.5720040462950475, -9.944890219270032, 1.5005257968440873, 0.9971208901677802, 0.670170905176332]",0.001195482038974166,0.615593671798706,"{'hidden': [31, 99], 'activation': 'tanh', 'learning_rate': 0.9971208901677802, 'momentum': 0.670170905176332}"
3,"[30.57265017328802, 99.17736837189958, -5.5720040462950475, -9.944890219270032, 1.5005257968440873, 0.9971208901677802, 0.670170905176332]",0.001195482038974166,0.8579158782958984,"{'hidden': [31, 99], 'activation': 'tanh', 'learning_rate': 0.9971208901677802, 'momentum': 0.670170905176332}"
4,"[30.57265017328802, 99.17736837189958, -5.5720040462950475, -9.944890219270032, 1.5005257968440873, 0.9971208901677802, 0.670170905176332]",0.001195482038974166,1.1655211448669434,"{'hidden': [31, 99], 'activation': 'tanh', 'learning_rate': 0.9971208901677802, 'momentum': 0.670170905176332}"
5,"[34.44835136524709, 54.824388155445334, 65.07434264657512, -9.306219434967435, 1.66490500902651, 0.7865197554206955, 0.8115562887778909]",0.0011808137698259293,1.5176217555999756,"{'hidden': [34, 55, 65], 'activation': 'tanh', 'learning_rate': 0.7865197554206955, 'momentum': 0.8115562887778909}"
6,"[95.79391498749668, -6.771164786866295, -8.288809067627978, -9.809214290130722, 3.3894209891648845, 0.81441619487694, 0.18664143036393688]",1.7988684489587483e-09,1.8168139457702637,"{'hidden': [96], 'activation': 'relu', 'learning_rate': 0.81441619487694, 'momentum': 0.18664143036393688}"
7,"[95.79391498749668, -6.771164786866295, -8.288809067627978, -9.809214290130722, 3.3894209891648845, 0.81441619487694, 0.18664143036393688]",1.7988684489587483e-09,2.1519246101379395,"{'hidden': [96], 'activation': 'relu', 'learning_rate': 0.81441619487694, 'momentum': 0.18664143036393688}"
8,"[95.79391498749668, -6.771164786866295, -8.288809067627978, -9.809214290130722, 3.3894209891648845, 0.81441619487694, 0.18664143036393688]",1.7988684489587483e-09,2.656538486480713,"{'hidden': [96], 'activation': 'relu', 'learning_rate': 0.81441619487694, 'momentum': 0.18664143036393688}"
9,"[95.79391498749668, -6.771164786866295, -8.288809067627978, -9.809214290130722, 3.3894209891648845, 0.81441619487694, 0.18664143036393688]",1.7988684489587483e-09,3.0046164989471436,"{'hidden': [96], 'activation': 'relu', 'learning_rate': 0.81441619487694, 'momentum': 0.18664143036393688}"
10,"[95.79391498749668, -6.771164786866295, -8.288809067627978, -9.809214290130722, 3.3894209891648845, 0.81441619487694, 0.18664143036393688]",1.7988684489587483e-09,3.3004465103149414,"{'hidden': [96], 'activation': 'relu', 'learning_rate': 0.81441619487694, 'momentum': 0.18664143036393688}"
11,"[3.349682299379938, 56.6790638789182, -5.582738077940671, -6.322349100972309, 4.649547042938863, 0.781240967573743, 0.794641696664583]",6.842163362684021e-14,3.5782976150512695,"{'hidden': [3, 57], 'activation': 'leaky_relu', 'learning_rate': 0.781240967573743, 'momentum': 0.794641696664583}"
12,"[3.349682299379938, 56.6790638789182, -5.582738077940671, -6.322349100972309, 4.649547042938863, 0.781240967573743, 0.794641696664583]",6.842163362684021e-14,3.8255999088287354,"{'hidden': [3, 57], 'activation': 'leaky_relu', 'learning_rate': 0.781240967573743, 'momentum': 0.794641696664583}"
13,"[3.349682299379938, 56.6790638789182, -5.582738077940671, -6.322349100972309, 4.649547042938863, 0.781240967573743, 0.794641696664583]",6.842163362684021e-14,4.453526020050049,"{'hidden': [3, 57], 'activation': 'leaky_relu', 'learning_rate': 0.781240967573743, 'momentum': 0.794641696664583}"
14,"[3.349682299379938, 56.6790638789182, -5.582738077940671, -6.322349100972309, 4.649547042938863, 0.781240967573743, 0.794641696664583]",6.842163362684021e-14,5.143821477890015,"{'hidden': [3, 57], 'activation': 'leaky_relu', 'learning_rate': 0.781240967573743, 'momentum': 0.794641696664583}"
15,"[3.349682299379938, 56.6790638789182, -5.582738077940671, -6.322349100972309, 4.649547042938863, 0.781240967573743, 0.794641696664583]",6.842163362684021e-14,5.642488718032837,"{'hidden': [3, 57], 'activation': 'leaky_relu', 'learning_rate': 0.781240967573743, 'momentum': 0.794641696664583}"
16,"[3.349682299379938, 56.6790638789182, -5.582738077940671, -6.322349100972309, 4.649547042938863, 0.781240967573743, 0.794641696664583]",6.842163362684021e-14,6.0121660232543945,"{'hidden': [3, 57], 'activation': 'leaky_relu', 'learning_rate': 0.781240967573743, 'momentum': 0.794641696664583}"
17,"[3.349682299379938, 56.6790638789182, -5.582738077940671, -6.322349100972309, 4.649547042938863, 0.781240967573743, 0.794641696664583]",6.842163362684021e-14,6.345366954803467,"{'hidden': [3, 57], 'activation': 'leaky_relu', 'learning_rate': 0.781240967573743, 'momentum': 0.794641696664583}"
18,"[3.349682299379938, 56.6790638789182, -5.582738077940671, -6.322349100972309, 4.649547042938863, 0.781240967573743, 0.794641696664583]",6.842163362684021e-14,6.58872389793396,"{'hidden': [3, 57], 'activation': 'leaky_relu', 'learning_rate': 0.781240967573743, 'momentum': 0.794641696664583}"
19,"[3.349682299379938, 56.6790638789182, -5.582738077940671, -6.322349100972309, 4.649547042938863, 0.781240967573743, 0.794641696664583]",6.842163362684021e-14,6.888992786407471,"{'hidden': [3, 57], 'activation': 'leaky_relu', 'learning_rate': 0.781240967573743, 'momentum': 0.794641696664583}"
20,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,7.215120553970337,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
21,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,7.6833815574646,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
22,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,8.198103666305542,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
23,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,8.528427124023438,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
24,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,8.986196994781494,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
25,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,9.36651086807251,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
26,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,9.651293754577637,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
27,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,9.944557428359985,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
28,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,10.228884220123291,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
29,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,10.57257342338562,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
30,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,10.837189435958862,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
31,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,11.135391235351562,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
32,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,11.46156358718872,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
33,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,11.780706882476807,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
34,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,12.02610182762146,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
35,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,12.360337734222412,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
36,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,12.714465618133545,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
37,"[14.985514566706795, 54.11593943636919, 60.66137353525355, -7.615338052745964, 4.4686809372143115, 0.7331793722374839, 0.4354298298686399]",3.07015913041386e-19,13.120485782623291,"{'hidden': [15, 54, 61], 'activation': 'leaky_relu', 'learning_rate': 0.7331793722374839, 'momentum': 0.4354298298686399}"
