,gen,cost,time,param
0,"[42.60772020601872, 86.99939108519332, 72.59831815507053, -7.717811139068267, 1.2825323157687427, 0.615826887058, 0.6109075136077554]",0.0037737829583396497,0.26828503608703613,"{'hidden': [43, 87, 73], 'activation': 'tanh', 'learning_rate': 0.615826887058, 'momentum': 0.6109075136077554}"
1,"[42.60772020601872, 86.99939108519332, 72.59831815507053, -7.717811139068267, 1.2825323157687427, 0.615826887058, 0.6109075136077554]",0.0037737829583396497,0.6083447933197021,"{'hidden': [43, 87, 73], 'activation': 'tanh', 'learning_rate': 0.615826887058, 'momentum': 0.6109075136077554}"
2,"[42.60772020601872, 86.99939108519332, 72.59831815507053, -7.717811139068267, 1.2825323157687427, 0.615826887058, 0.6109075136077554]",0.0037737829583396497,1.0760726928710938,"{'hidden': [43, 87, 73], 'activation': 'tanh', 'learning_rate': 0.615826887058, 'momentum': 0.6109075136077554}"
3,"[41.74559694285965, 56.163562960565855, -6.215737058152003, -7.643188227342427, 4.4118289806597675, 0.2939387157412908, 0.8256993863503552]",0.0006261059313947599,1.5102691650390625,"{'hidden': [42, 56], 'activation': 'leaky_relu', 'learning_rate': 0.2939387157412908, 'momentum': 0.8256993863503552}"
4,"[41.74559694285965, 56.163562960565855, -6.215737058152003, -7.643188227342427, 4.4118289806597675, 0.2939387157412908, 0.8256993863503552]",0.0006261059313947599,1.7930035591125488,"{'hidden': [42, 56], 'activation': 'leaky_relu', 'learning_rate': 0.2939387157412908, 'momentum': 0.8256993863503552}"
5,"[41.74559694285965, 56.163562960565855, -6.215737058152003, -7.643188227342427, 4.4118289806597675, 0.2939387157412908, 0.8256993863503552]",0.0006261059313947599,2.071251630783081,"{'hidden': [42, 56], 'activation': 'leaky_relu', 'learning_rate': 0.2939387157412908, 'momentum': 0.8256993863503552}"
6,"[41.74559694285965, 56.163562960565855, -6.215737058152003, -7.643188227342427, 4.4118289806597675, 0.2939387157412908, 0.8256993863503552]",0.0006261059313947599,2.3955702781677246,"{'hidden': [42, 56], 'activation': 'leaky_relu', 'learning_rate': 0.2939387157412908, 'momentum': 0.8256993863503552}"
7,"[41.74559694285965, 56.163562960565855, -6.215737058152003, -7.643188227342427, 4.4118289806597675, 0.2939387157412908, 0.8256993863503552]",0.0006261059313947599,2.7765145301818848,"{'hidden': [42, 56], 'activation': 'leaky_relu', 'learning_rate': 0.2939387157412908, 'momentum': 0.8256993863503552}"
8,"[41.74559694285965, 56.163562960565855, -6.215737058152003, -7.643188227342427, 4.4118289806597675, 0.2939387157412908, 0.8256993863503552]",0.0006261059313947599,3.084419012069702,"{'hidden': [42, 56], 'activation': 'leaky_relu', 'learning_rate': 0.2939387157412908, 'momentum': 0.8256993863503552}"
9,"[41.74559694285965, 56.163562960565855, -6.215737058152003, -7.643188227342427, 4.4118289806597675, 0.2939387157412908, 0.8256993863503552]",0.0006261059313947599,3.3123276233673096,"{'hidden': [42, 56], 'activation': 'leaky_relu', 'learning_rate': 0.2939387157412908, 'momentum': 0.8256993863503552}"
10,"[41.74559694285965, 56.163562960565855, -6.215737058152003, -7.643188227342427, 4.4118289806597675, 0.2939387157412908, 0.8256993863503552]",0.0006261059313947599,3.656764030456543,"{'hidden': [42, 56], 'activation': 'leaky_relu', 'learning_rate': 0.2939387157412908, 'momentum': 0.8256993863503552}"
11,"[46.302179115229926, 83.15495792113772, 15.089239936747223, -6.850873057198586, 4.697090704963972, 0.3192778068787734, 0.6611381169600179]",0.00012098565743457615,3.9425790309906006,"{'hidden': [46, 83, 15], 'activation': 'leaky_relu', 'learning_rate': 0.3192778068787734, 'momentum': 0.6611381169600179}"
12,"[46.302179115229926, 83.15495792113772, 15.089239936747223, -6.850873057198586, 4.697090704963972, 0.3192778068787734, 0.6611381169600179]",0.00012098565743457615,4.246480941772461,"{'hidden': [46, 83, 15], 'activation': 'leaky_relu', 'learning_rate': 0.3192778068787734, 'momentum': 0.6611381169600179}"
13,"[46.302179115229926, 83.15495792113772, 15.089239936747223, -6.850873057198586, 4.697090704963972, 0.3192778068787734, 0.6611381169600179]",0.00012098565743457615,4.497282266616821,"{'hidden': [46, 83, 15], 'activation': 'leaky_relu', 'learning_rate': 0.3192778068787734, 'momentum': 0.6611381169600179}"
14,"[46.302179115229926, 83.15495792113772, 15.089239936747223, -6.850873057198586, 4.697090704963972, 0.3192778068787734, 0.6611381169600179]",0.00012098565743457615,4.812960624694824,"{'hidden': [46, 83, 15], 'activation': 'leaky_relu', 'learning_rate': 0.3192778068787734, 'momentum': 0.6611381169600179}"
15,"[46.302179115229926, 83.15495792113772, 15.089239936747223, -6.850873057198586, 4.697090704963972, 0.3192778068787734, 0.6611381169600179]",0.00012098565743457615,5.103360652923584,"{'hidden': [46, 83, 15], 'activation': 'leaky_relu', 'learning_rate': 0.3192778068787734, 'momentum': 0.6611381169600179}"
16,"[21.324889032953145, 76.78816912225835, 24.384810887652034, -6.8835583052393945, 4.248703393775908, 0.9057169754781197, 0.8414041596599374]",7.91350706343399e-06,5.428818702697754,"{'hidden': [21, 77, 24], 'activation': 'leaky_relu', 'learning_rate': 0.9057169754781197, 'momentum': 0.8414041596599374}"
17,"[21.324889032953145, 76.78816912225835, 24.384810887652034, -6.8835583052393945, 4.248703393775908, 0.9057169754781197, 0.8414041596599374]",7.91350706343399e-06,5.741201877593994,"{'hidden': [21, 77, 24], 'activation': 'leaky_relu', 'learning_rate': 0.9057169754781197, 'momentum': 0.8414041596599374}"
18,"[21.324889032953145, 76.78816912225835, 24.384810887652034, -6.8835583052393945, 4.248703393775908, 0.9057169754781197, 0.8414041596599374]",7.91350706343399e-06,6.085519313812256,"{'hidden': [21, 77, 24], 'activation': 'leaky_relu', 'learning_rate': 0.9057169754781197, 'momentum': 0.8414041596599374}"
19,"[21.324889032953145, 76.78816912225835, 24.384810887652034, -6.8835583052393945, 4.248703393775908, 0.9057169754781197, 0.8414041596599374]",7.91350706343399e-06,6.394629716873169,"{'hidden': [21, 77, 24], 'activation': 'leaky_relu', 'learning_rate': 0.9057169754781197, 'momentum': 0.8414041596599374}"
20,"[21.324889032953145, 76.78816912225835, 24.384810887652034, -6.8835583052393945, 4.248703393775908, 0.9057169754781197, 0.8414041596599374]",7.91350706343399e-06,6.680304050445557,"{'hidden': [21, 77, 24], 'activation': 'leaky_relu', 'learning_rate': 0.9057169754781197, 'momentum': 0.8414041596599374}"
21,"[21.324889032953145, 76.78816912225835, 24.384810887652034, -6.8835583052393945, 4.248703393775908, 0.9057169754781197, 0.8414041596599374]",7.91350706343399e-06,7.024518966674805,"{'hidden': [21, 77, 24], 'activation': 'leaky_relu', 'learning_rate': 0.9057169754781197, 'momentum': 0.8414041596599374}"
22,"[21.324889032953145, 76.78816912225835, 24.384810887652034, -6.8835583052393945, 4.248703393775908, 0.9057169754781197, 0.8414041596599374]",7.91350706343399e-06,7.2971906661987305,"{'hidden': [21, 77, 24], 'activation': 'leaky_relu', 'learning_rate': 0.9057169754781197, 'momentum': 0.8414041596599374}"
23,"[21.324889032953145, 76.78816912225835, 24.384810887652034, -6.8835583052393945, 4.248703393775908, 0.9057169754781197, 0.8414041596599374]",7.91350706343399e-06,7.657817602157593,"{'hidden': [21, 77, 24], 'activation': 'leaky_relu', 'learning_rate': 0.9057169754781197, 'momentum': 0.8414041596599374}"
24,"[21.324889032953145, 76.78816912225835, 24.384810887652034, -6.8835583052393945, 4.248703393775908, 0.9057169754781197, 0.8414041596599374]",7.91350706343399e-06,8.278169393539429,"{'hidden': [21, 77, 24], 'activation': 'leaky_relu', 'learning_rate': 0.9057169754781197, 'momentum': 0.8414041596599374}"
25,"[21.324889032953145, 76.78816912225835, 24.384810887652034, -6.8835583052393945, 4.248703393775908, 0.9057169754781197, 0.8414041596599374]",7.91350706343399e-06,8.673450708389282,"{'hidden': [21, 77, 24], 'activation': 'leaky_relu', 'learning_rate': 0.9057169754781197, 'momentum': 0.8414041596599374}"
26,"[21.324889032953145, 76.78816912225835, 24.384810887652034, -6.8835583052393945, 4.248703393775908, 0.9057169754781197, 0.8414041596599374]",7.91350706343399e-06,9.099286317825317,"{'hidden': [21, 77, 24], 'activation': 'leaky_relu', 'learning_rate': 0.9057169754781197, 'momentum': 0.8414041596599374}"
27,"[21.324889032953145, 76.78816912225835, 24.384810887652034, -6.8835583052393945, 4.248703393775908, 0.9057169754781197, 0.8414041596599374]",7.91350706343399e-06,9.389149904251099,"{'hidden': [21, 77, 24], 'activation': 'leaky_relu', 'learning_rate': 0.9057169754781197, 'momentum': 0.8414041596599374}"
