,gen,cost,time,param
0,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,0.18165135383605957,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
1,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,0.3582191467285156,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
2,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,0.6638615131378174,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
3,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,0.9994993209838867,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
4,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,1.2528204917907715,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
5,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,1.4293885231018066,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
6,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,1.69614839553833,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
7,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,2.0078659057617188,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
8,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,2.3360300064086914,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
9,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,2.6737399101257324,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
10,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,3.076660394668579,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
11,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,3.4949212074279785,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
12,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,4.0097033977508545,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
13,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,4.678783178329468,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
14,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,5.356358528137207,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
15,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,5.7194554805755615,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
16,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,5.998732328414917,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
17,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,6.458087682723999,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
18,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,6.954529762268066,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
19,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,7.486757278442383,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
20,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,8.281860828399658,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
21,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,8.761669874191284,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
22,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,9.307825088500977,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
23,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,9.631911516189575,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
24,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,10.064373016357422,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
25,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,10.402882814407349,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
26,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,10.765432119369507,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
27,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,11.222252130508423,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
28,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,11.522069931030273,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
29,"[69.45660786974604, 1.3271356002471248, 22.191587013741383, -6.047595034357877, 3.7124516411137116, 0.9826869085856728, 0.7426166319419589]",0.22470087808769362,11.872339010238647,"{'hidden': [69, 1, 22], 'activation': 'relu', 'learning_rate': 0.9826869085856728, 'momentum': 0.7426166319419589}"
