,gen,cost,time,param
0,"[75.06091155269947, 54.84774346500072, 89.55717185291083, -9.975260971529929, 3.9811328180022905, 0.6914230319383371, 0.9732784733472007]",1.0118149111924743e-19,0.2481386661529541,"{'hidden': [75, 55, 90], 'activation': 'relu', 'learning_rate': 0.6914230319383371, 'momentum': 0.9732784733472007}"
1,"[75.06091155269947, 54.84774346500072, 89.55717185291083, -9.975260971529929, 3.9811328180022905, 0.6914230319383371, 0.9732784733472007]",1.0118149111924743e-19,0.43915247917175293,"{'hidden': [75, 55, 90], 'activation': 'relu', 'learning_rate': 0.6914230319383371, 'momentum': 0.9732784733472007}"
2,"[75.06091155269947, 54.84774346500072, 89.55717185291083, -9.975260971529929, 3.9811328180022905, 0.6914230319383371, 0.9732784733472007]",1.0118149111924743e-19,0.763120174407959,"{'hidden': [75, 55, 90], 'activation': 'relu', 'learning_rate': 0.6914230319383371, 'momentum': 0.9732784733472007}"
3,"[75.06091155269947, 54.84774346500072, 89.55717185291083, -9.975260971529929, 3.9811328180022905, 0.6914230319383371, 0.9732784733472007]",1.0118149111924743e-19,1.0411341190338135,"{'hidden': [75, 55, 90], 'activation': 'relu', 'learning_rate': 0.6914230319383371, 'momentum': 0.9732784733472007}"
4,"[75.06091155269947, 54.84774346500072, 89.55717185291083, -9.975260971529929, 3.9811328180022905, 0.6914230319383371, 0.9732784733472007]",1.0118149111924743e-19,1.2919785976409912,"{'hidden': [75, 55, 90], 'activation': 'relu', 'learning_rate': 0.6914230319383371, 'momentum': 0.9732784733472007}"
5,"[75.06091155269947, 54.84774346500072, 89.55717185291083, -9.975260971529929, 3.9811328180022905, 0.6914230319383371, 0.9732784733472007]",1.0118149111924743e-19,1.5561704635620117,"{'hidden': [75, 55, 90], 'activation': 'relu', 'learning_rate': 0.6914230319383371, 'momentum': 0.9732784733472007}"
6,"[75.06091155269947, 54.84774346500072, 89.55717185291083, -9.975260971529929, 3.9811328180022905, 0.6914230319383371, 0.9732784733472007]",1.0118149111924743e-19,1.9350178241729736,"{'hidden': [75, 55, 90], 'activation': 'relu', 'learning_rate': 0.6914230319383371, 'momentum': 0.9732784733472007}"
7,"[75.06091155269947, 54.84774346500072, 89.55717185291083, -9.975260971529929, 3.9811328180022905, 0.6914230319383371, 0.9732784733472007]",1.0118149111924743e-19,2.218066930770874,"{'hidden': [75, 55, 90], 'activation': 'relu', 'learning_rate': 0.6914230319383371, 'momentum': 0.9732784733472007}"
8,"[75.06091155269947, 54.84774346500072, 89.55717185291083, -9.975260971529929, 3.9811328180022905, 0.6914230319383371, 0.9732784733472007]",1.0118149111924743e-19,2.44417405128479,"{'hidden': [75, 55, 90], 'activation': 'relu', 'learning_rate': 0.6914230319383371, 'momentum': 0.9732784733472007}"
9,"[85.44224937602529, 98.37036302908315, 50.59257254866651, -8.300038898483601, 1.204987558993545, 0.5752499991936787, 0.7602630947780249]",1.1212402804079678e-26,2.760183572769165,"{'hidden': [85, 98, 51], 'activation': 'tanh', 'learning_rate': 0.5752499991936787, 'momentum': 0.7602630947780249}"
10,"[85.44224937602529, 98.37036302908315, 50.59257254866651, -8.300038898483601, 1.204987558993545, 0.5752499991936787, 0.7602630947780249]",1.1212402804079678e-26,3.102193593978882,"{'hidden': [85, 98, 51], 'activation': 'tanh', 'learning_rate': 0.5752499991936787, 'momentum': 0.7602630947780249}"
11,"[85.44224937602529, 98.37036302908315, 50.59257254866651, -8.300038898483601, 1.204987558993545, 0.5752499991936787, 0.7602630947780249]",1.1212402804079678e-26,3.448070764541626,"{'hidden': [85, 98, 51], 'activation': 'tanh', 'learning_rate': 0.5752499991936787, 'momentum': 0.7602630947780249}"
12,"[49.666413550655385, -7.703684177704071, -9.540628633515759, -7.227472134577544, 3.5896035911433426, 0.7088390664443491, 0.8936804157392221]",5.3071407030020765e-33,3.843095064163208,"{'hidden': [50], 'activation': 'relu', 'learning_rate': 0.7088390664443491, 'momentum': 0.8936804157392221}"
13,"[49.666413550655385, -7.703684177704071, -9.540628633515759, -7.227472134577544, 3.5896035911433426, 0.7088390664443491, 0.8936804157392221]",5.3071407030020765e-33,4.110160827636719,"{'hidden': [50], 'activation': 'relu', 'learning_rate': 0.7088390664443491, 'momentum': 0.8936804157392221}"
14,"[49.666413550655385, -7.703684177704071, -9.540628633515759, -7.227472134577544, 3.5896035911433426, 0.7088390664443491, 0.8936804157392221]",5.3071407030020765e-33,4.375223398208618,"{'hidden': [50], 'activation': 'relu', 'learning_rate': 0.7088390664443491, 'momentum': 0.8936804157392221}"
15,"[49.666413550655385, -7.703684177704071, -9.540628633515759, -7.227472134577544, 3.5896035911433426, 0.7088390664443491, 0.8936804157392221]",5.3071407030020765e-33,4.8601624965667725,"{'hidden': [50], 'activation': 'relu', 'learning_rate': 0.7088390664443491, 'momentum': 0.8936804157392221}"
16,"[49.666413550655385, -7.703684177704071, -9.540628633515759, -7.227472134577544, 3.5896035911433426, 0.7088390664443491, 0.8936804157392221]",5.3071407030020765e-33,5.287097692489624,"{'hidden': [50], 'activation': 'relu', 'learning_rate': 0.7088390664443491, 'momentum': 0.8936804157392221}"
17,"[49.666413550655385, -7.703684177704071, -9.540628633515759, -7.227472134577544, 3.5896035911433426, 0.7088390664443491, 0.8936804157392221]",5.3071407030020765e-33,5.575053930282593,"{'hidden': [50], 'activation': 'relu', 'learning_rate': 0.7088390664443491, 'momentum': 0.8936804157392221}"
18,"[49.666413550655385, -7.703684177704071, -9.540628633515759, -7.227472134577544, 3.5896035911433426, 0.7088390664443491, 0.8936804157392221]",5.3071407030020765e-33,5.886096954345703,"{'hidden': [50], 'activation': 'relu', 'learning_rate': 0.7088390664443491, 'momentum': 0.8936804157392221}"
19,"[49.666413550655385, -7.703684177704071, -9.540628633515759, -7.227472134577544, 3.5896035911433426, 0.7088390664443491, 0.8936804157392221]",5.3071407030020765e-33,6.1022374629974365,"{'hidden': [50], 'activation': 'relu', 'learning_rate': 0.7088390664443491, 'momentum': 0.8936804157392221}"
20,"[49.666413550655385, -7.703684177704071, -9.540628633515759, -7.227472134577544, 3.5896035911433426, 0.7088390664443491, 0.8936804157392221]",5.3071407030020765e-33,6.36201024055481,"{'hidden': [50], 'activation': 'relu', 'learning_rate': 0.7088390664443491, 'momentum': 0.8936804157392221}"
21,"[49.666413550655385, -7.703684177704071, -9.540628633515759, -7.227472134577544, 3.5896035911433426, 0.7088390664443491, 0.8936804157392221]",5.3071407030020765e-33,6.803004741668701,"{'hidden': [50], 'activation': 'relu', 'learning_rate': 0.7088390664443491, 'momentum': 0.8936804157392221}"
22,"[49.666413550655385, -7.703684177704071, -9.540628633515759, -7.227472134577544, 3.5896035911433426, 0.7088390664443491, 0.8936804157392221]",5.3071407030020765e-33,7.161241769790649,"{'hidden': [50], 'activation': 'relu', 'learning_rate': 0.7088390664443491, 'momentum': 0.8936804157392221}"
23,"[49.666413550655385, -7.703684177704071, -9.540628633515759, -7.227472134577544, 3.5896035911433426, 0.7088390664443491, 0.8936804157392221]",5.3071407030020765e-33,7.378066539764404,"{'hidden': [50], 'activation': 'relu', 'learning_rate': 0.7088390664443491, 'momentum': 0.8936804157392221}"
