,gen,cost,time,param
0,"[57.60633187407272, 79.23199566225593, -5.601257816492381, -9.887964025145052, 1.5245604424898225, 0.6432195073536582, 0.8931227196164979]",0.06706172746953733,0.2292494773864746,"{'hidden': [58, 79], 'activation': 'tanh', 'learning_rate': 0.6432195073536582, 'momentum': 0.8931227196164979}"
1,"[57.60633187407272, 79.23199566225593, -5.601257816492381, -9.887964025145052, 1.5245604424898225, 0.6432195073536582, 0.8931227196164979]",0.06706172746953733,0.4810326099395752,"{'hidden': [58, 79], 'activation': 'tanh', 'learning_rate': 0.6432195073536582, 'momentum': 0.8931227196164979}"
2,"[98.76851576955607, 31.41747746687492, 45.11426851493653, 4.406322559865135, 3.1995975453708647, 0.8614195685109299, 0.18875735768905544]",0.06564992401564328,0.7508368492126465,"{'hidden': [99, 31, 45, 4], 'activation': 'relu', 'learning_rate': 0.8614195685109299, 'momentum': 0.18875735768905544}"
3,"[98.76851576955607, 31.41747746687492, 45.11426851493653, 4.406322559865135, 3.1995975453708647, 0.8614195685109299, 0.18875735768905544]",0.06564992401564328,1.0257105827331543,"{'hidden': [99, 31, 45, 4], 'activation': 'relu', 'learning_rate': 0.8614195685109299, 'momentum': 0.18875735768905544}"
4,"[98.76851576955607, 31.41747746687492, 45.11426851493653, 4.406322559865135, 3.1995975453708647, 0.8614195685109299, 0.18875735768905544]",0.06564992401564328,1.2467947006225586,"{'hidden': [99, 31, 45, 4], 'activation': 'relu', 'learning_rate': 0.8614195685109299, 'momentum': 0.18875735768905544}"
5,"[98.76851576955607, 31.41747746687492, 45.11426851493653, 4.406322559865135, 3.1995975453708647, 0.8614195685109299, 0.18875735768905544]",0.06564992401564328,1.479597806930542,"{'hidden': [99, 31, 45, 4], 'activation': 'relu', 'learning_rate': 0.8614195685109299, 'momentum': 0.18875735768905544}"
6,"[98.76851576955607, 31.41747746687492, 45.11426851493653, 4.406322559865135, 3.1995975453708647, 0.8614195685109299, 0.18875735768905544]",0.06564992401564328,1.7674248218536377,"{'hidden': [99, 31, 45, 4], 'activation': 'relu', 'learning_rate': 0.8614195685109299, 'momentum': 0.18875735768905544}"
7,"[98.76851576955607, 31.41747746687492, 45.11426851493653, 4.406322559865135, 3.1995975453708647, 0.8614195685109299, 0.18875735768905544]",0.06564992401564328,2.017012119293213,"{'hidden': [99, 31, 45, 4], 'activation': 'relu', 'learning_rate': 0.8614195685109299, 'momentum': 0.18875735768905544}"
8,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,2.2543752193450928,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
9,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,2.4587886333465576,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
10,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,2.6701905727386475,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
11,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,2.934263229370117,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
12,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,3.1582870483398438,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
13,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,3.3250155448913574,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
14,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,3.534745454788208,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
15,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,3.732973337173462,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
16,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,3.902442693710327,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
17,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,4.129834890365601,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
18,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,4.443573951721191,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
19,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,4.771997928619385,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
20,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,5.122529745101929,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
21,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,5.443000316619873,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
22,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,5.86240029335022,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
23,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,6.199032306671143,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
24,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,6.511219263076782,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
25,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,6.785367727279663,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
26,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,7.002786159515381,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
27,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,7.246135234832764,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
28,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,7.537356615066528,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
29,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,7.795280933380127,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
30,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,8.084794759750366,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
31,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,8.356857538223267,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
32,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,8.60210919380188,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
33,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,8.955913782119751,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
34,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,9.300338745117188,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
35,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,9.583539724349976,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
36,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,9.83139181137085,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
37,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,10.108650207519531,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
38,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,10.371869087219238,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
39,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,10.616333723068237,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
40,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,10.819486141204834,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
41,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,11.059619665145874,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
42,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,11.270143747329712,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
43,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,11.520474672317505,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
44,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,11.839158535003662,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
45,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,12.121952056884766,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
46,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,12.352466106414795,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
47,"[77.02494805101048, 39.58730906885843, -9.41291134190621, -8.126758778578509, 4.95167777478501, 0.7198987338266392, 0.4252164565494315]",0.05891367014740183,12.62099814414978,"{'hidden': [77, 40], 'activation': 'leaky_relu', 'learning_rate': 0.7198987338266392, 'momentum': 0.4252164565494315}"
48,"[22.88313344305377, 53.82713672332333, 86.29519299133739, 74.8152843495692, 3.5769454344059533, 0.6528109449482674, 0.7089359463643589]",0.057935748159915576,13.066976308822632,"{'hidden': [23, 54, 86, 75], 'activation': 'relu', 'learning_rate': 0.6528109449482674, 'momentum': 0.7089359463643589}"
49,"[22.88313344305377, 53.82713672332333, 86.29519299133739, 74.8152843495692, 3.5769454344059533, 0.6528109449482674, 0.7089359463643589]",0.057935748159915576,13.61154842376709,"{'hidden': [23, 54, 86, 75], 'activation': 'relu', 'learning_rate': 0.6528109449482674, 'momentum': 0.7089359463643589}"
50,"[22.88313344305377, 53.82713672332333, 86.29519299133739, 74.8152843495692, 3.5769454344059533, 0.6528109449482674, 0.7089359463643589]",0.057935748159915576,14.236238956451416,"{'hidden': [23, 54, 86, 75], 'activation': 'relu', 'learning_rate': 0.6528109449482674, 'momentum': 0.7089359463643589}"
51,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,14.948042631149292,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
52,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,15.390275239944458,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
53,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,15.74138593673706,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
54,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,16.051886320114136,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
55,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,16.441593647003174,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
56,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,16.704375505447388,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
57,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,17.113281726837158,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
58,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,17.405590295791626,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
59,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,17.81723666191101,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
60,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,18.091827630996704,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
61,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,18.355557680130005,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
62,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,18.68069076538086,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
63,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,19.033262252807617,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
64,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]",0.05717482176626267,19.3540141582489,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
