,0
var,"['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT'
 'numDraughtDiff_neg_CT' 'ImporVolume']"
gen,"[66.37706476748899, 89.76818681032981, 87.3459005160367, -5.533161368938542, 4.371243518912517, 0.8208308282367801, 0.7799537485878881]"
param,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}"
importance,[['timeInPort_CT' 0.10668799999999999]]
RMSE train,0.032274693990900154
MAPE train,8.647207673825093
RMSE test,1.4514871495320165
MAPE test,500.0913955370845
prediksi train true,"[[10.6557]
 [ 9.57  ]
 [ 9.9363]
 [10.6884]
 [11.1007]
 [ 7.6663]
 [10.122 ]
 [ 9.4057]
 [ 9.9844]
 [10.1101]
 [11.9463]
 [10.4642]
 [ 8.8464]
 [ 9.4774]
 [10.4467]
 [10.8735]
 [ 7.2501]
 [ 8.2354]
 [ 8.0858]]"
prediksi test true,"[[12.5039]
 [11.4235]
 [11.5836]
 [12.6531]
 [10.2681]]"
RMSE train true,3.4653414461499024
MAPE train true,26.165973778506178
RMSE test true,2.3969066567644792
MAPE test true,11.682907135801264
