,0
var,"['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT'
 'numDraughtDiff_neg_CT' 'bi_rate' 'ImporVolume']"
gen,"[5.1976434284775115, 19.51866014079985, 81.69836783006814, -8.237801679406527, 3.6707146523437455, 0.6631214748835905, 0.661605197798474]"
param,"{'hidden': [5, 20, 82], 'activation': 'relu', 'learning_rate': 0.6631214748835905, 'momentum': 0.661605197798474}"
importance,[]
RMSE train,0.055884392345995605
MAPE train,18.52244553819066
RMSE test,2.182205182222622
MAPE test,447.61139212012245
prediksi train true,"[[10.5933]
 [ 9.5007]
 [ 9.7132]
 [10.4815]
 [10.8875]
 [ 7.4825]
 [ 9.8807]
 [ 9.2254]
 [ 9.8509]
 [10.0712]
 [11.9579]
 [10.4704]
 [ 8.8434]
 [ 9.42  ]
 [10.3403]
 [10.7457]
 [ 7.1346]
 [ 8.0913]
 [ 7.9317]]"
prediksi test true,"[[12.5483]
 [10.4366]
 [10.4909]
 [11.2413]
 [ 6.334 ]]"
RMSE train true,3.580630889677589
MAPE train true,27.090446726328494
RMSE test true,4.261293363566674
MAPE test true,20.855842757418213
