,0
var,"['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT'
 'numDraughtDiff_neg_CT' 'kurs_USD' 'ImporVolume']"
gen,"[94.74123156312105, 67.28291234244963, -5.212562185158421, -6.920393246396289, 3.938591838528326, 0.9744463548050977, 0.8312281357462624]"
param,"{'hidden': [95, 67], 'activation': 'relu', 'learning_rate': 0.9744463548050977, 'momentum': 0.8312281357462624}"
importance,"[['numVessel_CT' 0.053853999999999985]
 ['timeInPort_CT' 0.09722600000000002]
 ['sumDraughtDiff_neg_CT' 0.007408000000000001]
 ['kurs_USD' 0.08959]]"
RMSE train,0.00010890450299893675
MAPE train,0.028403869541424036
RMSE test,1.538982091141987
MAPE test,664.9974986376902
prediksi train true,"[[10.6889]
 [ 9.6471]
 [10.0985]
 [10.8821]
 [11.3606]
 [ 7.8896]
 [10.4705]
 [ 9.7548]
 [10.3907]
 [10.4666]
 [12.48  ]
 [10.988 ]
 [ 9.3416]
 [10.0462]
 [11.1019]
 [11.5777]
 [ 7.757 ]
 [ 8.8498]
 [ 8.7099]]"
prediksi test true,"[[12.1608]
 [10.9293]
 [11.7065]
 [13.214 ]
 [10.5961]]"
RMSE train true,3.0594202059078617
MAPE train true,23.069889693543814
RMSE test true,2.351389081065057
MAPE test true,12.16363536935206
