,0
var,['numVisit_CT' 'numVessel_CT' 'ImporVolume']
gen,"[65.13881290367897, 34.57502391764755, 84.6694616708626, -7.748175456611387, 4.080542444731679, 0.7216372109773066, 0.8012642930974471]"
param,"{'hidden': [65, 35, 85], 'activation': 'leaky_relu', 'learning_rate': 0.7216372109773066, 'momentum': 0.8012642930974471}"
importance,[]
RMSE train,0.6435846649133995
MAPE train,127.71754355794496
RMSE test,1.410223167174652
MAPE test,416.5622779796709
prediksi train true,"[[10.3019]
 [ 8.3868]
 [ 8.2646]
 [ 8.5559]
 [ 8.7739]
 [ 7.1585]
 [ 8.1115]
 [ 8.2101]
 [ 8.0373]
 [ 8.2128]
 [ 9.5217]
 [ 8.4625]
 [ 6.8707]
 [ 6.5767]
 [ 6.9111]
 [ 5.5345]
 [ 3.3521]
 [ 3.4012]
 [ 3.6548]]"
prediksi test true,"[[12.2395]
 [12.3959]
 [13.5828]
 [12.6803]
 [10.3355]]"
RMSE train true,6.092430769690336
MAPE train true,45.1281896208476
RMSE test true,2.3608308652601906
MAPE test true,11.310137504280462
