,0
var,['timeInPort_CT' 'ImporVolume']
gen,"[61.548903983272474, 88.2365470521119, 90.78332769551004, -7.27750664930344, 4.176030929567101, 0.9829296565588231, 0.5484032058260657]"
param,"{'hidden': [62, 88, 91], 'activation': 'leaky_relu', 'learning_rate': 0.9829296565588231, 'momentum': 0.5484032058260657}"
importance,[['timeInPort_CT' 0.015946000000000002]]
RMSE train,0.8066828993136899
MAPE train,87.85385436519644
RMSE test,0.7581328951183602
MAPE test,105.63049093258789
prediksi train true,"[[11.1869]
 [10.9658]
 [10.8129]
 [10.6749]
 [10.9088]
 [ 8.145 ]
 [ 8.4411]
 [ 8.6937]
 [ 9.0099]
 [ 9.0208]
 [ 9.4058]
 [ 7.4713]
 [ 6.2664]
 [ 6.4944]
 [ 6.6791]
 [ 7.147 ]
 [ 7.4067]
 [ 8.1451]
 [ 8.4581]]"
prediksi test true,"[[11.3844]
 [11.8301]
 [12.0752]
 [12.2116]
 [12.4899]]"
RMSE train true,4.867311971445669
MAPE train true,33.31277866525246
RMSE test true,1.370570131478971
MAPE test true,6.259703780559247
