,0
var,['timeInPort_CT' 'bi_rate' 'ImporVolume']
gen,"[84.9668030197755, 41.420615925251475, -7.9729858611983655, -5.178665668631269, 4.579859776892864, 0.6476144796157641, 0.8896865238358243]"
param,"{'hidden': [85, 41], 'activation': 'leaky_relu', 'learning_rate': 0.6476144796157641, 'momentum': 0.8896865238358243}"
importance,[]
RMSE train,0.6380323080497813
MAPE train,136.18142032436188
RMSE test,1.120759089492537
MAPE test,109.62584234777755
prediksi train true,"[[12.4345]
 [12.5257]
 [13.7549]
 [13.7944]
 [16.3207]
 [13.5761]
 [18.1057]
 [17.8047]
 [21.9089]
 [23.1022]
 [27.5877]
 [23.3707]
 [20.6219]
 [23.3056]
 [25.3857]
 [25.9497]
 [23.6507]
 [28.1895]
 [29.6211]]"
prediksi test true,"[[11.1915]
 [ 9.9321]
 [ 9.2398]
 [ 9.3019]
 [ 8.7172]]"
RMSE train true,9.313043186307393
MAPE train true,59.87509421789458
RMSE test true,3.715855174950538
MAPE test true,23.69294047147573
