,0
var,['timeInPort_CT' 'kurs_USD' 'ImporVolume']
gen,"[69.32198325834489, 72.6865931986637, -7.682225924945319, -6.002627121860914, 3.024239485140071, 0.6260208348712397, 0.8311776609933428]"
param,"{'hidden': [69, 73], 'activation': 'relu', 'learning_rate': 0.6260208348712397, 'momentum': 0.8311776609933428}"
importance,"[['timeInPort_CT' 0.24980199999999997]
 ['kurs_USD' 0.26298599999999994]]"
RMSE train,0.40338631934351016
MAPE train,60.64831642585092
RMSE test,0.6778858066091408
MAPE test,187.84190989021118
prediksi train true,"[[10.5485]
 [10.7207]
 [11.3604]
 [11.971 ]
 [12.3974]
 [ 9.9355]
 [12.5688]
 [12.5212]
 [15.3649]
 [15.6428]
 [18.1486]
 [14.8796]
 [12.6788]
 [13.5594]
 [15.3573]
 [14.6486]
 [ 9.6605]
 [10.833 ]
 [10.8033]]"
prediksi test true,"[[11.2156]
 [11.6296]
 [11.5523]
 [11.9176]
 [12.5142]]"
RMSE train true,1.5090651515306424
MAPE train true,9.061581256644272
RMSE test true,1.4305618226493224
MAPE test true,7.928433429157397
