,0
var,['numVisit_CT' 'ImporVolume']
gen,"[67.87041768500983, 82.63474024377861, -8.073418749941801, -9.512416599809388, 3.3734626811893307, 0.5709568984647058, 0.6295994629502187]"
param,"{'hidden': [68, 83], 'activation': 'relu', 'learning_rate': 0.5709568984647058, 'momentum': 0.6295994629502187}"
importance,[]
RMSE train,0.7839258499311561
MAPE train,157.0263349907311
RMSE test,1.2393708694692684
MAPE test,172.73355770532206
prediksi train true,"[[11.0557]
 [10.4182]
 [10.2276]
 [ 9.6363]
 [10.1085]
 [ 8.2185]
 [ 9.597 ]
 [ 9.3429]
 [ 9.5851]
 [ 9.4026]
 [10.8445]
 [ 9.8978]
 [ 9.7549]
 [10.1726]
 [10.1592]
 [ 8.6535]
 [ 8.1985]
 [ 7.7873]
 [ 8.9366]]"
prediksi test true,"[[11.7021]
 [10.6929]
 [11.8463]
 [11.7635]
 [10.7173]]"
RMSE train true,3.782525802492581
MAPE train true,26.74969405914026
RMSE test true,2.2934505685861257
MAPE test true,10.672574332623482
