,0
var,['numVisit_CT' 'ImporVolume']
gen,"[29.321563974885308, 62.28221361733365, 88.99960501892116, -5.508710748011297, 3.2133689068956595, 0.6797509573326491, 0.8484759301824207]"
param,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}"
importance,[]
RMSE train,0.7696748933318663
MAPE train,141.6248584227655
RMSE test,1.1987694684236887
MAPE test,380.38756315478776
prediksi train true,"[[11.0911]
 [10.6005]
 [10.4477]
 [ 9.9853]
 [10.582 ]
 [ 9.2345]
 [11.0038]
 [10.7527]
 [11.5343]
 [11.4559]
 [13.4478]
 [12.8075]
 [12.9576]
 [14.0001]
 [14.8105]
 [13.9596]
 [13.3557]
 [12.7841]
 [14.9162]]"
prediksi test true,"[[11.846 ]
 [10.9074]
 [11.8464]
 [11.1449]
 [10.2533]]"
RMSE train true,2.4239276703406962
MAPE train true,16.576478007443402
RMSE test true,2.479024815369966
MAPE test true,11.742177908091696
