,0
var,['numVessel_CT' 'ImporNilai']
reg sig,[]
reg diag,"{'dw': '2.611', 'p_omnibus': '0.791', 'p_jb': '0.819'}"
model,"(2, 0, 0)"
model sig,['ar.L1' 'ar.L2' 'sigma2']
model aic,51.35430821189023
model bic,56.07650310772243
model diag,"{'p_ljungbox': '0.98', 'p_jb': '0.89', 'p_heteros': '0.75'}"
RMSE train,0.7172837825349282
MAPE train,184.47007413522178
RMSE test,0.9943859862711694
MAPE test,186.41885218598475
prediksi train true,"[[11.0864]
 [11.0492]
 [12.6531]
 [11.9809]
 [10.0156]
 [ 8.8168]
 [10.336 ]
 [ 9.0041]
 [ 7.6009]
 [ 7.9751]
 [ 8.085 ]
 [ 7.9696]
 [ 8.2373]
 [ 8.2928]
 [ 9.3613]
 [ 8.9054]
 [ 7.9969]
 [ 9.6028]
 [ 9.6909]]"
prediksi test true,"[[8.6521]
 [9.5542]
 [9.4975]
 [8.5431]
 [9.0598]]"
RMSE train true,4.4487291451530595
MAPE train true,27.891263118964705
RMSE test true,3.3468960103297305
MAPE test true,23.72469693076218
