,0
var,['timeInPort_CT' 'ImporVolume']
reg sig,[]
reg diag,"{'dw': '2.632', 'p_omnibus': '0.525', 'p_jb': '0.809'}"
model,"(10, 0, 2)"
model sig,['const' 'ar.L10']
model aic,53.701372177002256
model bic,67.86795686449886
model diag,"{'p_ljungbox': '0.62', 'p_jb': '0.66', 'p_heteros': '0.47'}"
RMSE train,0.5662500208288302
MAPE train,169.91502353696706
RMSE test,1.6655488630049888
MAPE test,463.6070645875143
prediksi train true,"[[12.0129]
 [12.0525]
 [13.9572]
 [15.1557]
 [14.7253]
 [12.8723]
 [14.9007]
 [14.6699]
 [14.652 ]
 [12.5479]
 [14.093 ]
 [12.0423]
 [10.9999]
 [12.1842]
 [13.2578]
 [13.464 ]
 [ 8.7359]
 [10.1395]
 [10.2013]]"
prediksi test true,"[[11.5759]
 [11.5129]
 [13.7387]
 [14.7934]
 [11.2674]]"
RMSE train true,1.4666224737663651
MAPE train true,10.363367643001595
RMSE test true,2.375971738169049
MAPE test true,14.975380483575623
