,0
var,['numVisit_CT' 'ImporVolume']
reg sig,[]
reg diag,"{'dw': '2.503', 'p_omnibus': '0.894', 'p_jb': '0.989'}"
model,"(1, 0, 0)"
model sig,['numVisit_CT' 'ar.L1' 'sigma2']
model aic,48.8256805176784
model bic,52.60343643434416
model diag,"{'p_ljungbox': '0.81', 'p_jb': '0.82', 'p_heteros': '0.33'}"
RMSE train,0.7072261024620856
MAPE train,121.28827778793314
RMSE test,1.4441340107644711
MAPE test,369.7197222717992
prediksi train true,"[[11.8968]
 [11.9557]
 [12.9113]
 [12.2805]
 [12.7098]
 [10.3686]
 [12.619 ]
 [11.1784]
 [11.3386]
 [11.3415]
 [13.3864]
 [11.9005]
 [12.5042]
 [13.7695]
 [13.5728]
 [10.6032]
 [ 8.8176]
 [ 9.7837]
 [10.3384]]"
prediksi test true,"[[12.548 ]
 [10.5349]
 [12.1794]
 [11.6885]
 [10.4872]]"
RMSE train true,1.8575680148964622
MAPE train true,11.313996405545353
RMSE test true,2.436581236985646
MAPE test true,12.045308350515942
