t,cad_devisa,kurs_USD,bi_rate
201812,120654.27,14481,6
201901,120075.16,14072,6
201902,123273.87,14062,6
201903,124539.31,14244,6
201904,124293.82,14215,6
201905,120347.15,14385,6
201906,123823.27,14141,6
201907,125900.04,14026,5.75
201908,126441.49,14237,5.5
201909,124332.33,14174,5.25
201910,126693.76,14008,5
201911,126633.32,14102,5
201912,129183.28,13901,5
202001,131703.8,13662,5
202002,130444.44,14234,4.75
202003,120968.88,16367,4.5
202004,127879.62,15157,4.5
202005,130544.04,14733,4.5
202006,131718.36,14302,4.25
202007,135077.22,14653,4
202008,137041.3,14554,4
202009,135153.15,14918,4
202010,133662.73,14690,4
202011,133556.12,14128,3.75
202012,135896.66,14105,3.75
