period,timeInPort,timeInPort_CT,numVessel,numVessel_CT,numVisit,numVisit_CT,sumDraughtDiff_pos,sumDraughtDiff_pos_CT,numDraughtDiff_pos,numDraughtDiff_pos_CT,sumDraughtDiff_neg,sumDraughtDiff_neg_CT,numDraughtDiff_neg,numDraughtDiff_neg_CT,EksporNilai,EksporVolume,ImporNilai,ImporVolume
2018-12,2794030023,2133221059,10365,9182,20792,12964,2037,4402,2037,1944,2140,4603,2139,2034,14290093210,52798736011,15364986090,14716898033
2019-01,3019832998,2321502823,11552,10282,26184,14037,3059,5920,3059,2854,3132,6390,3132,2951,14028086397,55153741678,15005191440,13892230800
2019-02,2893386590,2233374644,11028,9829,26269,13295,2822,5120,2822,2636,2730,5425,2730,2582,12788557132,48714544729,12465073944,12538456210
2019-03,3170936135,2438017913,11451,10129,28750,14486,2837,4866,2837,2670,2813,5595,2813,2671,14447789013,57526309274,13746621857,13125266829
2019-04,3102236096,2352569652,10460,9167,19462,13717,2803,4453,2803,2688,2776,5437,2776,2641,13068068333,52365329749,15399185930,14143962559
2019-05,3186630607,2456070608,10940,9680,22138,15861,3147,4632,3147,3005,2626,5027,2626,2516,14751890718,57680016608,14606659275,14766069634
2019-06,2894161598,2225075352,10195,8994,15854,11614,2569,3332,2569,2458,1962,3510,1962,1864,11763353137,46497604257,11495388062,10254928550
2019-07,2943893811,2227768718,10782,9488,18432,14370,3277,5865,3277,3131,3103,6141,3103,2960,15238418109,56408079594,15518475622,13609908017
2019-08,3020512293,2287296796,10920,9605,19104,14099,3134,5403,3134,2976,3172,6504,3172,3006,14261962734,52385275556,14169350761,12679655746
2019-09,3027200975,2287573056,10880,9621,17808,14189,3162,5618,3162,3049,2857,5852,2857,2729,14080108446,54588169198,14263448876,13506445659
2019-10,3248789286,2438231806,11364,9985,18727,15177,3218,5309,3218,3072,2932,5860,2932,2787,14881456854,61412977962,14759081430,13605297569
2019-11,3290533412,2474154274,12338,10864,24698,18632,3169,4601,3169,3023,2752,5638,2752,2620,13944486957,56022187370,15340475284,16222862032
2019-12,3054654638,2255038736,12621,11072,21215,16662,2495,3316,2495,2392,2024,3570,2024,1922,14428818305,55720138557,14506784516,14283648453
2020-01,3495107456,2643196338,12759,11228,21995,17743,3466,6837,3466,3316,3374,7301,3374,3231,13632036109,50925398993,14268720284,12143552871
2020-02,3425789741,2637518532,12281,10792,26118,18011,3433,6233,3433,3300,2915,5968,2915,2782,14060899749,49672619258,11548100132,13059584031
2020-03,3539177818,2716735841,12794,11299,23835,18970,3363,6045,3363,3229,3364,7015,3364,3234,14067939680,54128055248,13352176374,14432183255
2020-04,3462939519,2578718942,11978,10584,18680,14940,3080,4854,3080,2953,3016,6358,3016,2887,12163136633,45193685915,12535233221,15051046827
2020-05,3545797648,2584592214,11686,10356,19538,14262,2924,4298,2924,2799,2648,5708,2648,2528,10454279383,42317630735,8438627383,10084426066
2020-06,3352621415,2444237826,11836,10394,19632,13661,2715,3302,2715,2604,2075,3684,2075,1971,12009343419,46494085562,10760317981,11505323617
2020-07,3430878159,2488098505,12321,10889,20545,16718,3406,6388,3406,3274,3143,6827,3143,2983,13702671501,46394877063,10464299676,11323464029
2020-08,3293813532,2399620097,12022,10568,21286,17263,3275,6169,3275,3156,3050,6272,3050,2909,13095781016,43579668460,10742407847,11839690849
2020-09,3226349817,2359766459,12012,10434,18927,15139,3278,5583,3278,3129,2929,6096,2929,2794,13960528087,43944142494,11570104770,12883228618
2020-10,3362423264,2512726579,11941,10457,23119,17897,3115,5312,3115,2997,2820,5884,2820,2686,14362242633,47217679455,10786016684,12091546513
2020-11,3230089300,2429362695,11736,10275,22172,17633,3057,4518,3057,2919,2575,4924,2575,2437,15259317172,53282461416,12664414194,12137149554
2020-12,3395667153,2581799814,12094,10661,19863,15374,2749,3730,2749,2650,2205,3842,2205,2102,16538310720,57324016354,14438376084,15330669376
