,RMSE train,RMSE test,RMSE train true,RMSE test true,param,var,prediksi test true,model sig
AIS+None,0.0055,1.0299,4.2276,2.1734,"{'hidden': [44, 37, 97], 'activation': 'leaky_relu', 'learning_rate': 0.9956883079450136, 'momentum': 0.4587783895956816}","['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT'
 'numDraughtDiff_neg_CT' 'ImporNilai']","[[11.7072]
 [ 9.7824]
 [10.409 ]
 [10.9352]
 [10.3936]]",
AISf+None,0.0685,1.2387,5.0724,5.6389,"{'hidden': [86, 45, 80, 33], 'activation': 'relu', 'learning_rate': 0.6399505967829104, 'momentum': 0.987934790736367}",['numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT' 'ImporNilai'],"[[8.3056]
 [6.7514]
 [6.4653]
 [6.2397]
 [6.0788]]",
AISs+None,0.3946,1.2611,2.535,2.3402,"{'hidden': [93, 98, 39], 'activation': 'leaky_relu', 'learning_rate': 0.7759706352762857, 'momentum': 0.8019567300812219}",['numVisit_CT' 'timeInPort_CT' 'ImporNilai'],"[[13.4701]
 [10.6997]
 [10.1863]
 [11.2756]
 [10.3279]]",
AISc+None,0.3344,1.5844,3.3624,6.0421,"{'hidden': [39, 92, 95], 'activation': 'leaky_relu', 'learning_rate': 0.8068081783600457, 'momentum': 0.9174202579983525}",['numVisit_CT' 'numVessel_CT' 'numDraughtDiff_neg_CT' 'ImporNilai'],"[[8.9706]
 [7.7264]
 [7.0311]
 [5.2085]
 [4.695 ]]",
AISr+None,0.6839,1.4943,5.9504,5.5284,"{'hidden': [94, 75], 'activation': 'relu', 'learning_rate': 0.2646479310908534, 'momentum': 0.7573050959665482}",['numVessel_CT' 'ImporNilai'],"[[8.0196]
 [6.889 ]
 [7.3844]
 [5.8301]
 [6.3631]]",
AIS+None,0.4112,1.0004,1.9524,2.0447,,"['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT'
 'numDraughtDiff_neg_CT' 'ImporNilai']","[[11.2797]
 [12.7772]
 [10.5093]
 [12.4594]
 [10.075 ]]",['const' 'numVisit_CT' 'timeInPort_CT' 'ar.L1' 'ar.L2']
AISf+None,0.71,0.9077,4.6101,3.2218,,['numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT' 'ImporNilai'],"[[9.0217]
 [9.984 ]
 [9.5073]
 [8.7228]
 [9.0299]]",['ar.L1' 'ar.L2' 'sigma2']
AISs+None,0.5232,2.2097,6.342,3.842,,['numVisit_CT' 'timeInPort_CT' 'ImporNilai'],"[[15.2573]
 [10.5038]
 [11.1245]
 [11.4086]
 [ 7.3255]]",['const' 'numVisit_CT' 'timeInPort_CT' 'ar.L1']
AISc+None,0.5655,0.9061,4.4902,2.242,,['numVisit_CT' 'numVessel_CT' 'numDraughtDiff_neg_CT' 'ImporNilai'],"[[ 9.7888]
 [10.7038]
 [11.1424]
 [10.4297]
 [10.1545]]",['numVisit_CT' 'ar.L1' 'ar.L2' 'sigma2']
AISr+None,0.7173,0.9944,4.4487,3.3469,,['numVessel_CT' 'ImporNilai'],"[[8.6521]
 [9.5542]
 [9.4975]
 [8.5431]
 [9.0598]]",['ar.L1' 'ar.L2' 'sigma2']
