,RMSE train,RMSE test,RMSE train true,RMSE test true,param,var,prediksi test true,model sig
AIS+None,0.0323,1.4515,3.4653,2.3969,"{'hidden': [66, 90, 87], 'activation': 'leaky_relu', 'learning_rate': 0.8208308282367801, 'momentum': 0.7799537485878881}","['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT'
 'numDraughtDiff_neg_CT' 'ImporVolume']","[[12.5039]
 [11.4235]
 [11.5836]
 [12.6531]
 [10.2681]]",
AISf+None,0.8067,0.7581,4.8673,1.3706,"{'hidden': [62, 88, 91], 'activation': 'leaky_relu', 'learning_rate': 0.9829296565588231, 'momentum': 0.5484032058260657}",['timeInPort_CT' 'ImporVolume'],"[[11.3844]
 [11.8301]
 [12.0752]
 [12.2116]
 [12.4899]]",
AISs+None,0.7697,1.1988,2.4239,2.479,"{'hidden': [29, 62, 89], 'activation': 'relu', 'learning_rate': 0.6797509573326491, 'momentum': 0.8484759301824207}",['numVisit_CT' 'ImporVolume'],"[[11.846 ]
 [10.9074]
 [11.8464]
 [11.1449]
 [10.2533]]",
AISc+None,0.6436,1.4102,6.0924,2.3608,"{'hidden': [65, 35, 85], 'activation': 'leaky_relu', 'learning_rate': 0.7216372109773066, 'momentum': 0.8012642930974471}",['numVisit_CT' 'numVessel_CT' 'ImporVolume'],"[[12.2395]
 [12.3959]
 [13.5828]
 [12.6803]
 [10.3355]]",
AISr+None,0.7839,1.2394,3.7825,2.2935,"{'hidden': [68, 83], 'activation': 'relu', 'learning_rate': 0.5709568984647058, 'momentum': 0.6295994629502187}",['numVisit_CT' 'ImporVolume'],"[[11.7021]
 [10.6929]
 [11.8463]
 [11.7635]
 [10.7173]]",
AIS+None,0.6563,1.7721,1.7812,2.5267,,"['numVisit_CT' 'numVessel_CT' 'timeInPort_CT' 'sumDraughtDiff_neg_CT'
 'numDraughtDiff_neg_CT' 'ImporVolume']","[[13.0619]
 [11.1179]
 [12.8911]
 [13.7292]
 [10.4177]]",['numVisit_CT' 'sigma2']
AISf+None,0.5663,1.6655,1.4666,2.376,,['timeInPort_CT' 'ImporVolume'],"[[11.5759]
 [11.5129]
 [13.7387]
 [14.7934]
 [11.2674]]",['const' 'ar.L10']
AISs+None,0.7072,1.4441,1.8576,2.4366,,['numVisit_CT' 'ImporVolume'],"[[12.548 ]
 [10.5349]
 [12.1794]
 [11.6885]
 [10.4872]]",['numVisit_CT' 'ar.L1' 'sigma2']
AISc+None,0.6822,1.6684,2.1716,2.4892,,['numVisit_CT' 'numVessel_CT' 'ImporVolume'],"[[13.0343]
 [10.6242]
 [12.7763]
 [12.3654]
 [10.4389]]",['numVisit_CT' 'ar.L1' 'sigma2']
AISr+None,0.7072,1.4441,1.8576,2.4366,,['numVisit_CT' 'ImporVolume'],"[[12.548 ]
 [10.5349]
 [12.1794]
 [11.6885]
 [10.4872]]",['numVisit_CT' 'ar.L1' 'sigma2']
